,forecast_date,target,target_end_date,location,type,quantile,value
816,2020-07-20,3 wk ahead inc case,2020-08-08,51051,point,,20.129122093798845
824,2020-07-20,4 wk ahead inc case,2020-08-15,51051,point,,0.0
832,2020-07-20,1 wk ahead inc case,2020-07-25,51053,point,,15.51512624552451
840,2020-07-20,2 wk ahead inc case,2020-08-01,51053,point,,18.51260758374165
848,2020-07-20,3 wk ahead inc case,2020-08-08,51053,point,,13.102487187285472
856,2020-07-20,4 wk ahead inc case,2020-08-15,51053,point,,13.52203930961101
864,2020-07-20,1 wk ahead inc case,2020-07-25,51057,point,,3.8053184843736583
872,2020-07-20,2 wk ahead inc case,2020-08-01,51057,point,,5.343141439585142
880,2020-07-20,3 wk ahead inc case,2020-08-08,51057,point,,3.8186980985594223
888,2020-07-20,4 wk ahead inc case,2020-08-15,51057,point,,3.9448969142832135
896,2020-07-20,1 wk ahead inc case,2020-07-25,51059,point,,448.750150606267
904,2020-07-20,2 wk ahead inc case,2020-08-01,51059,point,,569.3853380049259
912,2020-07-20,3 wk ahead inc case,2020-08-08,51059,point,,487.47365592108264
920,2020-07-20,4 wk ahead inc case,2020-08-15,51059,point,,357.4770180533992
928,2020-07-20,1 wk ahead inc case,2020-07-25,51061,point,,33.87021680341096
936,2020-07-20,2 wk ahead inc case,2020-08-01,51061,point,,0.0
944,2020-07-20,3 wk ahead inc case,2020-08-08,51061,point,,45.42225542778935
952,2020-07-20,4 wk ahead inc case,2020-08-15,51061,point,,37.99207710197103
960,2020-07-20,1 wk ahead inc case,2020-07-25,51063,point,,2.541554911083983
968,2020-07-20,2 wk ahead inc case,2020-08-01,51063,point,,9.152147431442412
976,2020-07-20,3 wk ahead inc case,2020-08-08,51063,point,,5.329592834022193
984,2020-07-20,4 wk ahead inc case,2020-08-15,51063,point,,0.0
992,2020-07-20,1 wk ahead inc case,2020-07-25,51065,point,,5.30371612306207
1000,2020-07-20,2 wk ahead inc case,2020-08-01,51065,point,,1.019175155301822
1008,2020-07-20,3 wk ahead inc case,2020-08-08,51065,point,,8.698553774181125
1016,2020-07-20,4 wk ahead inc case,2020-08-15,51065,point,,0.0
1024,2020-07-20,1 wk ahead inc case,2020-07-25,51067,point,,9.046737961424482
1032,2020-07-20,2 wk ahead inc case,2020-08-01,51067,point,,54.70064743923563
1040,2020-07-20,3 wk ahead inc case,2020-08-08,51067,point,,0.0
1048,2020-07-20,4 wk ahead inc case,2020-08-15,51067,point,,0.0
1056,2020-07-20,1 wk ahead inc case,2020-07-25,51069,point,,45.06309596650648
1064,2020-07-20,2 wk ahead inc case,2020-08-01,51069,point,,49.73581569141492
1072,2020-07-20,3 wk ahead inc case,2020-08-08,51069,point,,45.679476803610115
1080,2020-07-20,4 wk ahead inc case,2020-08-15,51069,point,,36.944149424283964
1088,2020-07-20,1 wk ahead inc case,2020-07-25,51071,point,,1.4961912103959512
1096,2020-07-20,2 wk ahead inc case,2020-08-01,51071,point,,2.5975531518355517
1104,2020-07-20,3 wk ahead inc case,2020-08-08,51071,point,,1.8038255506760588
1112,2020-07-20,4 wk ahead inc case,2020-08-15,51071,point,,7.9379710774603165
1120,2020-07-20,1 wk ahead inc case,2020-07-25,51073,point,,12.21354480086354
1128,2020-07-20,2 wk ahead inc case,2020-08-01,51073,point,,8.761886671258942
1136,2020-07-20,3 wk ahead inc case,2020-08-08,51073,point,,91.1768761580474
1144,2020-07-20,4 wk ahead inc case,2020-08-15,51073,point,,78.61261940385256
1152,2020-07-20,1 wk ahead inc case,2020-07-25,51075,point,,6.380889075882843
1160,2020-07-20,2 wk ahead inc case,2020-08-01,51075,point,,8.831431700351798
1168,2020-07-20,3 wk ahead inc case,2020-08-08,51075,point,,8.49097378385688
1176,2020-07-20,4 wk ahead inc case,2020-08-15,51075,point,,7.031320187301287
1184,2020-07-20,1 wk ahead inc case,2020-07-25,51077,point,,9.879639550086537
1192,2020-07-20,2 wk ahead inc case,2020-08-01,51077,point,,12.906070355127245
1200,2020-07-20,3 wk ahead inc case,2020-08-08,51077,point,,12.257542168218238
1208,2020-07-20,4 wk ahead inc case,2020-08-15,51077,point,,9.730129353660534
1216,2020-07-20,1 wk ahead inc case,2020-07-25,51079,point,,8.456518407066685
1224,2020-07-20,2 wk ahead inc case,2020-08-01,51079,point,,6.0808733440514375
1232,2020-07-20,3 wk ahead inc case,2020-08-08,51079,point,,10.70313631732949
1240,2020-07-20,4 wk ahead inc case,2020-08-15,51079,point,,11.532961744580353
1248,2020-07-20,1 wk ahead inc case,2020-07-25,51081,point,,41.781621332173465
1256,2020-07-20,2 wk ahead inc case,2020-08-01,51081,point,,74.24780717700547
1264,2020-07-20,3 wk ahead inc case,2020-08-08,51081,point,,55.1256177478887
1272,2020-07-20,4 wk ahead inc case,2020-08-15,51081,point,,10.429317874736943
1280,2020-07-20,1 wk ahead inc case,2020-07-25,51083,point,,14.773078084606302
1288,2020-07-20,2 wk ahead inc case,2020-08-01,51083,point,,17.45294600825054
1296,2020-07-20,3 wk ahead inc case,2020-08-08,51083,point,,19.02223071333328
1304,2020-07-20,4 wk ahead inc case,2020-08-15,51083,point,,9.058751078316362
1312,2020-07-20,1 wk ahead inc case,2020-07-25,51085,point,,34.941803743690485
1320,2020-07-20,2 wk ahead inc case,2020-08-01,51085,point,,37.047009255849645
1328,2020-07-20,3 wk ahead inc case,2020-08-08,51085,point,,37.419259209637424
1336,2020-07-20,4 wk ahead inc case,2020-08-15,51085,point,,34.66666558115275
1344,2020-07-20,1 wk ahead inc case,2020-07-25,51087,point,,214.66333312113903
1352,2020-07-20,2 wk ahead inc case,2020-08-01,51087,point,,16.01586416079315
1360,2020-07-20,3 wk ahead inc case,2020-08-08,51087,point,,246.69498387851917
1368,2020-07-20,4 wk ahead inc case,2020-08-15,51087,point,,191.52044558953256
1376,2020-07-20,1 wk ahead inc case,2020-07-25,51089,point,,38.03477633043871
1384,2020-07-20,2 wk ahead inc case,2020-08-01,51089,point,,187.3678668018343
1392,2020-07-20,3 wk ahead inc case,2020-08-08,51089,point,,53.841997940654224
1400,2020-07-20,4 wk ahead inc case,2020-08-15,51089,point,,58.864785247062905
1408,2020-07-20,1 wk ahead inc case,2020-07-25,51091,point,,0.0
1416,2020-07-20,2 wk ahead inc case,2020-08-01,51091,point,,0.0
1424,2020-07-20,3 wk ahead inc case,2020-08-08,51091,point,,0.0
1432,2020-07-20,4 wk ahead inc case,2020-08-15,51091,point,,0.0
1440,2020-07-20,1 wk ahead inc case,2020-07-25,51093,point,,19.921110710398192
1448,2020-07-20,2 wk ahead inc case,2020-08-01,51093,point,,0.0
1456,2020-07-20,3 wk ahead inc case,2020-08-08,51093,point,,35.883983694032565
1464,2020-07-20,4 wk ahead inc case,2020-08-15,51093,point,,24.860228134520213
1472,2020-07-20,1 wk ahead inc case,2020-07-25,51095,point,,64.48288604227618
1480,2020-07-20,2 wk ahead inc case,2020-08-01,51095,point,,104.46300687569784
1488,2020-07-20,3 wk ahead inc case,2020-08-08,51095,point,,108.56965561772623
1496,2020-07-20,4 wk ahead inc case,2020-08-15,51095,point,,77.08081393163981
1504,2020-07-20,1 wk ahead inc case,2020-07-25,51097,point,,2.3322057087137718
1512,2020-07-20,2 wk ahead inc case,2020-08-01,51097,point,,0.0
1520,2020-07-20,3 wk ahead inc case,2020-08-08,51097,point,,0.1540573613205079
1528,2020-07-20,4 wk ahead inc case,2020-08-15,51097,point,,3.690386053835784
1536,2020-07-20,1 wk ahead inc case,2020-07-25,51099,point,,5.1512021411938385
1544,2020-07-20,2 wk ahead inc case,2020-08-01,51099,point,,6.820678445049436
1552,2020-07-20,3 wk ahead inc case,2020-08-08,51099,point,,6.649875152028594
1560,2020-07-20,4 wk ahead inc case,2020-08-15,51099,point,,5.071486851117287
1568,2020-07-20,1 wk ahead inc case,2020-07-25,51101,point,,5.781507160958393
1576,2020-07-20,2 wk ahead inc case,2020-08-01,51101,point,,5.163991205751288
1584,2020-07-20,3 wk ahead inc case,2020-08-08,51101,point,,3.24913676513468
1592,2020-07-20,4 wk ahead inc case,2020-08-15,51101,point,,6.708563669506216
1600,2020-07-20,1 wk ahead inc case,2020-07-25,51103,point,,0.0
1608,2020-07-20,2 wk ahead inc case,2020-08-01,51103,point,,0.0
1616,2020-07-20,3 wk ahead inc case,2020-08-08,51103,point,,0.0
1624,2020-07-20,4 wk ahead inc case,2020-08-15,51103,point,,0.0
1632,2020-07-20,1 wk ahead inc case,2020-07-25,51105,point,,0.0
1640,2020-07-20,2 wk ahead inc case,2020-08-01,51105,point,,0.0
1648,2020-07-20,3 wk ahead inc case,2020-08-08,51105,point,,0.0
1656,2020-07-20,4 wk ahead inc case,2020-08-15,51105,point,,0.0
1664,2020-07-20,1 wk ahead inc case,2020-07-25,51107,point,,321.2093172123033
1672,2020-07-20,2 wk ahead inc case,2020-08-01,51107,point,,372.86175570802163
1680,2020-07-20,3 wk ahead inc case,2020-08-08,51107,point,,337.424073198679
1688,2020-07-20,4 wk ahead inc case,2020-08-15,51107,point,,225.9162653174248
1696,2020-07-20,1 wk ahead inc case,2020-07-25,51109,point,,8.235194962081701
1704,2020-07-20,2 wk ahead inc case,2020-08-01,51109,point,,0.0
1712,2020-07-20,3 wk ahead inc case,2020-08-08,51109,point,,11.70084779048092
1720,2020-07-20,4 wk ahead inc case,2020-08-15,51109,point,,15.01525181241895
1728,2020-07-20,1 wk ahead inc case,2020-07-25,51111,point,,0.0
1736,2020-07-20,2 wk ahead inc case,2020-08-01,51111,point,,0.0
1744,2020-07-20,3 wk ahead inc case,2020-08-08,51111,point,,0.0
1752,2020-07-20,4 wk ahead inc case,2020-08-15,51111,point,,0.0
1760,2020-07-20,1 wk ahead inc case,2020-07-25,51113,point,,0.0
1768,2020-07-20,2 wk ahead inc case,2020-08-01,51113,point,,0.0
1776,2020-07-20,3 wk ahead inc case,2020-08-08,51113,point,,0.0
1784,2020-07-20,4 wk ahead inc case,2020-08-15,51113,point,,0.0
1792,2020-07-20,1 wk ahead inc case,2020-07-25,51115,point,,0.4763912218279659
1800,2020-07-20,2 wk ahead inc case,2020-08-01,51115,point,,0.44057360414014185
1808,2020-07-20,3 wk ahead inc case,2020-08-08,51115,point,,0.7703191046621749
1816,2020-07-20,4 wk ahead inc case,2020-08-15,51115,point,,0.44608185969147657
1824,2020-07-20,1 wk ahead inc case,2020-07-25,51117,point,,8.575175545076435
1832,2020-07-20,2 wk ahead inc case,2020-08-01,51117,point,,7.840135155813584
1840,2020-07-20,3 wk ahead inc case,2020-08-08,51117,point,,5.713809369924098
1848,2020-07-20,4 wk ahead inc case,2020-08-15,51117,point,,6.046854504298003
1856,2020-07-20,1 wk ahead inc case,2020-07-25,51119,point,,0.0
1864,2020-07-20,2 wk ahead inc case,2020-08-01,51119,point,,0.0
1872,2020-07-20,3 wk ahead inc case,2020-08-08,51119,point,,0.0
1880,2020-07-20,4 wk ahead inc case,2020-08-15,51119,point,,0.7205330058576063
1888,2020-07-20,1 wk ahead inc case,2020-07-25,51121,point,,14.922989485501745
1896,2020-07-20,2 wk ahead inc case,2020-08-01,51121,point,,36.06367606272099
1904,2020-07-20,3 wk ahead inc case,2020-08-08,51121,point,,17.9520619924979
1912,2020-07-20,4 wk ahead inc case,2020-08-15,51121,point,,7.286873070303181
1920,2020-07-20,1 wk ahead inc case,2020-07-25,51125,point,,1.168243018916795
1928,2020-07-20,2 wk ahead inc case,2020-08-01,51125,point,,0.0
1936,2020-07-20,3 wk ahead inc case,2020-08-08,51125,point,,2.3499296335147903
1944,2020-07-20,4 wk ahead inc case,2020-08-15,51125,point,,2.5438831662390227
1952,2020-07-20,1 wk ahead inc case,2020-07-25,51127,point,,6.045503733489207
1960,2020-07-20,2 wk ahead inc case,2020-08-01,51127,point,,5.4377907380080615
1968,2020-07-20,3 wk ahead inc case,2020-08-08,51127,point,,15.397523534282087
