,target_end_date,country,quantile,value,location,forecast_date,type,state,target
37201,2020-07-11,US,,23,26,2020-06-07,point,MI,34 day ahead inc death
37202,2020-07-11,US,,6855,26,2020-06-07,point,MI,5 wk ahead cum death
37203,2020-07-11,US,,169,26,2020-06-07,point,MI,5 wk ahead inc death
37272,2020-07-03,US,,3085,49,2020-06-07,point,UT,26 day ahead cum death
37273,2020-07-03,US,,361,49,2020-06-07,point,UT,26 day ahead inc death
37320,2020-07-24,US,,2612,38,2020-06-07,point,ND,47 day ahead cum death
37321,2020-07-24,US,,48,38,2020-06-07,point,ND,47 day ahead inc death
37368,2020-07-03,US,,8226,25,2020-06-07,point,MA,26 day ahead cum death
37369,2020-07-03,US,,23,25,2020-06-07,point,MA,26 day ahead inc death
37416,2020-06-12,US,,12415,34,2020-06-07,point,NJ,5 day ahead cum death
37417,2020-06-12,US,,56,34,2020-06-07,point,NJ,5 day ahead inc death
37464,2020-07-12,US,,1982,27,2020-06-07,point,MN,35 day ahead cum death
37465,2020-07-12,US,,23,27,2020-06-07,point,MN,35 day ahead inc death
37512,2020-06-11,US,,1991,48,2020-06-07,point,TX,4 day ahead cum death
37513,2020-06-11,US,,41,48,2020-06-07,point,TX,4 day ahead inc death
37560,2020-06-19,US,,6277,26,2020-06-07,point,MI,12 day ahead cum death
37561,2020-06-19,US,,31,26,2020-06-07,point,MI,12 day ahead inc death
37608,2020-06-15,US,,24,15,2020-06-07,point,HI,8 day ahead cum death
37609,2020-06-15,US,,0,15,2020-06-07,point,HI,8 day ahead inc death
37644,2020-07-13,US,,153413,US,2020-06-07,point,,36 day ahead cum death
37704,2020-07-11,US,,4046,39,2020-06-07,point,OH,34 day ahead cum death
37705,2020-07-11,US,,54,39,2020-06-07,point,OH,34 day ahead inc death
37706,2020-07-11,US,,4046,39,2020-06-07,point,OH,5 wk ahead cum death
37707,2020-07-11,US,,360,39,2020-06-07,point,OH,5 wk ahead inc death
37776,2020-07-02,US,,932,19,2020-06-07,point,IA,25 day ahead cum death
37777,2020-07-02,US,,13,19,2020-06-07,point,IA,25 day ahead inc death
37824,2020-06-21,US,,855,01,2020-06-07,point,AL,14 day ahead cum death
