,forecast_date,target,target_end_date,location,location_name,type,quantile,value,Unnamed: 0
3827,2020-05-09,6 day ahead cum death,2020-05-15,5,Arkansas,point,,129.03919463829132,
3828,2020-05-09,7 day ahead cum death,2020-05-16,5,Arkansas,point,,132.05854236991408,
3829,2020-05-09,8 day ahead cum death,2020-05-17,5,Arkansas,point,,135.08570594002185,
3830,2020-05-09,9 day ahead cum death,2020-05-18,5,Arkansas,point,,138.12047339864534,
3831,2020-05-09,10 day ahead cum death,2020-05-19,5,Arkansas,point,,141.16206528277903,
3832,2020-05-09,11 day ahead cum death,2020-05-20,5,Arkansas,point,,144.2120291579649,
3833,2020-05-09,12 day ahead cum death,2020-05-21,5,Arkansas,point,,147.2700042917694,
3834,2020-05-09,13 day ahead cum death,2020-05-22,5,Arkansas,point,,150.33480419393018,
3835,2020-05-09,14 day ahead cum death,2020-05-23,5,Arkansas,point,,153.40632732837648,
3836,2020-05-09,1 day ahead inc death,2020-05-10,5,Arkansas,point,,2.9681507232888227,
3837,2020-05-09,2 day ahead inc death,2020-05-11,5,Arkansas,point,,2.9772997050818213,
3838,2020-05-09,3 day ahead inc death,2020-05-12,5,Arkansas,point,,2.986027281399793,
3839,2020-05-09,4 day ahead inc death,2020-05-13,5,Arkansas,point,,2.994462182605064,
3840,2020-05-09,5 day ahead inc death,2020-05-14,5,Arkansas,point,,3.0028348828568405,
3841,2020-05-09,6 day ahead inc death,2020-05-15,5,Arkansas,point,,3.0112279391841184,
3842,2020-05-09,7 day ahead inc death,2020-05-16,5,Arkansas,point,,3.019347731622795,
3843,2020-05-09,8 day ahead inc death,2020-05-17,5,Arkansas,point,,3.0271635701077457,
3844,2020-05-09,9 day ahead inc death,2020-05-18,5,Arkansas,point,,3.034767458623478,
3845,2020-05-09,10 day ahead inc death,2020-05-19,5,Arkansas,point,,3.0415918841337346,
3846,2020-05-09,11 day ahead inc death,2020-05-20,5,Arkansas,point,,3.049963875185833,
3847,2020-05-09,12 day ahead inc death,2020-05-21,5,Arkansas,point,,3.057975133804513,
3848,2020-05-09,13 day ahead inc death,2020-05-22,5,Arkansas,point,,3.0647999021608037,
3849,2020-05-09,14 day ahead inc death,2020-05-23,5,Arkansas,point,,3.071523134446253,
3850,2020-05-09,1 day ahead inc hosp,2020-05-10,5,Arkansas,point,,13.41387312694469,
3851,2020-05-09,2 day ahead inc hosp,2020-05-11,5,Arkansas,point,,13.450583561215725,
3852,2020-05-09,3 day ahead inc hosp,2020-05-12,5,Arkansas,point,,13.486660910509286,
3853,2020-05-09,4 day ahead inc hosp,2020-05-13,5,Arkansas,point,,13.52219622327287,
3854,2020-05-09,5 day ahead inc hosp,2020-05-14,5,Arkansas,point,,13.557156480161474,
3855,2020-05-09,6 day ahead inc hosp,2020-05-15,5,Arkansas,point,,13.591464220108776,
3856,2020-05-09,7 day ahead inc hosp,2020-05-16,5,Arkansas,point,,13.625200042201072,
3857,2020-05-09,8 day ahead inc hosp,2020-05-17,5,Arkansas,point,,13.658461066459818,
3858,2020-05-09,9 day ahead inc hosp,2020-05-18,5,Arkansas,point,,13.691294885743512,
3859,2020-05-09,10 day ahead inc hosp,2020-05-19,5,Arkansas,point,,13.723691208938945,
3860,2020-05-09,11 day ahead inc hosp,2020-05-20,5,Arkansas,point,,13.755449594072692,
3861,2020-05-09,12 day ahead inc hosp,2020-05-21,5,Arkansas,point,,13.786650212459366,
3862,2020-05-09,13 day ahead inc hosp,2020-05-22,5,Arkansas,point,,13.8174316451416,
3863,2020-05-09,14 day ahead inc hosp,2020-05-23,5,Arkansas,point,,13.847770296116915,
4788,2020-05-09,1 day ahead cum death,2020-05-10,6,California,point,,3834.4993837654015,
4789,2020-05-09,2 day ahead cum death,2020-05-11,6,California,point,,3956.9633658609528,
4790,2020-05-09,3 day ahead cum death,2020-05-12,6,California,point,,4080.3961963099437,
4791,2020-05-09,4 day ahead cum death,2020-05-13,6,California,point,,4204.772983795364,
4792,2020-05-09,5 day ahead cum death,2020-05-14,6,California,point,,4330.072640261731,
4793,2020-05-09,6 day ahead cum death,2020-05-15,6,California,point,,4456.278355388907,
4794,2020-05-09,7 day ahead cum death,2020-05-16,6,California,point,,4583.373318856753,
4795,2020-05-09,8 day ahead cum death,2020-05-17,6,California,point,,4711.3603114503085,
4796,2020-05-09,9 day ahead cum death,2020-05-18,6,California,point,,4840.219506827038,
4797,2020-05-09,10 day ahead cum death,2020-05-19,6,California,point,,4969.9328529051645,
4798,2020-05-09,11 day ahead cum death,2020-05-20,6,California,point,,5100.485657319169,
4799,2020-05-09,12 day ahead cum death,2020-05-21,6,California,point,,5231.863296946947,
4800,2020-05-09,13 day ahead cum death,2020-05-22,6,California,point,,5364.0538291745725,
4801,2020-05-09,14 day ahead cum death,2020-05-23,6,California,point,,5497.043293127611,
