location,target,type,quantile,forecast_date,target_end_date,value
20,3 wk ahead inc death,point,,2020-04-20,2020-05-09,0.7142857140000001
20,4 wk ahead inc death,point,,2020-04-20,2020-05-16,0.0
20,5 wk ahead inc death,point,,2020-04-20,2020-05-23,0.0
20,6 wk ahead inc death,point,,2020-04-20,2020-05-30,0.0
20,1 wk ahead cum death,point,,2020-04-20,2020-04-25,122.1428571
20,2 wk ahead cum death,point,,2020-04-20,2020-05-02,146.1428571
20,3 wk ahead cum death,point,,2020-04-20,2020-05-09,157.1428571
20,4 wk ahead cum death,point,,2020-04-20,2020-05-16,161.28571430000005
20,5 wk ahead cum death,point,,2020-04-20,2020-05-23,163.0
20,6 wk ahead cum death,point,,2020-04-20,2020-05-30,163.5714286
21,1 wk ahead inc death,point,,2020-04-20,2020-04-25,6.0
21,2 wk ahead inc death,point,,2020-04-20,2020-05-02,3.285714286
21,3 wk ahead inc death,point,,2020-04-20,2020-05-09,1.0
21,4 wk ahead inc death,point,,2020-04-20,2020-05-16,0.0
21,5 wk ahead inc death,point,,2020-04-20,2020-05-23,0.0
21,6 wk ahead inc death,point,,2020-04-20,2020-05-30,0.0
21,1 wk ahead cum death,point,,2020-04-20,2020-04-25,190.5714286
21,2 wk ahead cum death,point,,2020-04-20,2020-05-02,225.0
21,3 wk ahead cum death,point,,2020-04-20,2020-05-09,239.8571429
21,4 wk ahead cum death,point,,2020-04-20,2020-05-16,244.28571430000002
21,5 wk ahead cum death,point,,2020-04-20,2020-05-23,245.5714286
21,6 wk ahead cum death,point,,2020-04-20,2020-05-30,246.0
22,1 wk ahead inc death,point,,2020-04-20,2020-04-25,25.71428571
22,2 wk ahead inc death,point,,2020-04-20,2020-05-02,8.142857142999999
22,3 wk ahead inc death,point,,2020-04-20,2020-05-09,1.428571429
22,4 wk ahead inc death,point,,2020-04-20,2020-05-16,0.0
22,5 wk ahead inc death,point,,2020-04-20,2020-05-23,0.0
22,6 wk ahead inc death,point,,2020-04-20,2020-05-30,0.0
22,1 wk ahead cum death,point,,2020-04-20,2020-04-25,1511.0
22,2 wk ahead cum death,point,,2020-04-20,2020-05-02,1623.285714
22,3 wk ahead cum death,point,,2020-04-20,2020-05-09,1649.714286
22,4 wk ahead cum death,point,,2020-04-20,2020-05-16,1654.0
22,5 wk ahead cum death,point,,2020-04-20,2020-05-23,1654.714286
22,6 wk ahead cum death,point,,2020-04-20,2020-05-30,1654.714286
23,1 wk ahead inc death,point,,2020-04-20,2020-04-25,2.4285714290000002
23,2 wk ahead inc death,point,,2020-04-20,2020-05-02,2.285714286
23,3 wk ahead inc death,point,,2020-04-20,2020-05-09,1.571428571
23,4 wk ahead inc death,point,,2020-04-20,2020-05-16,0.7142857140000001
23,5 wk ahead inc death,point,,2020-04-20,2020-05-23,0.28571428600000004
23,6 wk ahead inc death,point,,2020-04-20,2020-05-30,0.0
23,1 wk ahead cum death,point,,2020-04-20,2020-04-25,48.42857143
23,2 wk ahead cum death,point,,2020-04-20,2020-05-02,66.57142857
23,3 wk ahead cum death,point,,2020-04-20,2020-05-09,81.14285714
23,4 wk ahead cum death,point,,2020-04-20,2020-05-16,90.57142857
23,5 wk ahead cum death,point,,2020-04-20,2020-05-23,96.0
23,6 wk ahead cum death,point,,2020-04-20,2020-05-30,99.0
24,1 wk ahead inc death,point,,2020-04-20,2020-04-25,35.14285714
24,2 wk ahead inc death,point,,2020-04-20,2020-05-02,18.42857143
24,3 wk ahead inc death,point,,2020-04-20,2020-05-09,5.0
24,4 wk ahead inc death,point,,2020-04-20,2020-05-16,0.857142857
24,5 wk ahead inc death,point,,2020-04-20,2020-05-23,0.0
24,6 wk ahead inc death,point,,2020-04-20,2020-05-30,0.0
24,1 wk ahead cum death,point,,2020-04-20,2020-04-25,720.4285714
24,2 wk ahead cum death,point,,2020-04-20,2020-05-02,915.1428571
24,3 wk ahead cum death,point,,2020-04-20,2020-05-09,989.7857142999999
24,4 wk ahead cum death,point,,2020-04-20,2020-05-16,1006.928571
24,5 wk ahead cum death,point,,2020-04-20,2020-05-23,1010.0
24,6 wk ahead cum death,point,,2020-04-20,2020-05-30,1010.2857140000001
25,1 wk ahead inc death,point,,2020-04-20,2020-04-25,131.1428571
25,2 wk ahead inc death,point,,2020-04-20,2020-05-02,70.14285714
25,3 wk ahead inc death,point,,2020-04-20,2020-05-09,21.28571429
25,4 wk ahead inc death,point,,2020-04-20,2020-05-16,4.285714286
25,5 wk ahead inc death,point,,2020-04-20,2020-05-23,0.7142857140000001
25,6 wk ahead inc death,point,,2020-04-20,2020-05-30,0.0
25,1 wk ahead cum death,point,,2020-04-20,2020-04-25,2565.285714
25,2 wk ahead cum death,point,,2020-04-20,2020-05-02,3285.285714
25,3 wk ahead cum death,point,,2020-04-20,2020-05-09,3579.928571
25,4 wk ahead cum death,point,,2020-04-20,2020-05-16,3656.785714
25,5 wk ahead cum death,point,,2020-04-20,2020-05-23,3672.071429
25,6 wk ahead cum death,point,,2020-04-20,2020-05-30,3674.285714
26,1 wk ahead inc death,point,,2020-04-20,2020-04-25,89.42857143
26,2 wk ahead inc death,point,,2020-04-20,2020-05-02,34.57142857
26,3 wk ahead inc death,point,,2020-04-20,2020-05-09,7.0
26,4 wk ahead inc death,point,,2020-04-20,2020-05-16,0.857142857
26,5 wk ahead inc death,point,,2020-04-20,2020-05-23,0.0
26,6 wk ahead inc death,point,,2020-04-20,2020-05-30,0.0
26,1 wk ahead cum death,point,,2020-04-20,2020-04-25,3071.142857
26,2 wk ahead cum death,point,,2020-04-20,2020-05-02,3504.285714
26,3 wk ahead cum death,point,,2020-04-20,2020-05-09,3632.071429
26,4 wk ahead cum death,point,,2020-04-20,2020-05-16,3654.214286
