value,target,target_end_date,type,quantile,forecast_date,location
462.2330589294436,2 wk ahead inc case,2020-12-05,point,,2020-11-18,39005
983.9592056274404,1 wk ahead inc case,2020-11-28,point,,2020-11-18,42041
1734.2013854980469,2 wk ahead inc case,2020-12-05,point,,2020-11-18,42041
623.8700714111327,1 wk ahead inc case,2020-11-28,point,,2020-11-18,2170
1135.402156829834,2 wk ahead inc case,2020-12-05,point,,2020-11-18,2170
314.2431354522705,1 wk ahead inc case,2020-11-28,point,,2020-11-18,13113
600.8907070159913,2 wk ahead inc case,2020-12-05,point,,2020-11-18,13113
46.40521049499512,1 wk ahead inc case,2020-11-28,point,,2020-11-18,13271
88.33215141296387,2 wk ahead inc case,2020-12-05,point,,2020-11-18,13271
321.71368408203125,1 wk ahead inc case,2020-11-28,point,,2020-11-18,39009
605.9150409698491,2 wk ahead inc case,2020-12-05,point,,2020-11-18,39009
316.0058078765872,1 wk ahead inc case,2020-11-28,point,,2020-11-18,18069
557.7427749633789,2 wk ahead inc case,2020-12-05,point,,2020-11-18,18069
69.15745162963867,1 wk ahead inc case,2020-11-28,point,,2020-11-18,51135
126.81211614608765,2 wk ahead inc case,2020-12-05,point,,2020-11-18,51135
130.68611621856692,1 wk ahead inc case,2020-11-28,point,,2020-11-18,35053
232.92930507659912,2 wk ahead inc case,2020-12-05,point,,2020-11-18,35053
40.54974722862232,1 wk ahead inc case,2020-11-28,point,,2020-11-18,51620
80.60920643806469,2 wk ahead inc case,2020-12-05,point,,2020-11-18,51620
49.86440420150762,1 wk ahead inc case,2020-11-28,point,,2020-11-18,38025
90.88276529312134,2 wk ahead inc case,2020-12-05,point,,2020-11-18,38025
358.37761306762695,1 wk ahead inc case,2020-11-28,point,,2020-11-18,4009
648.059261322021,2 wk ahead inc case,2020-12-05,point,,2020-11-18,4009
227.0803050994873,1 wk ahead inc case,2020-11-28,point,,2020-11-18,16013
415.1270542144776,2 wk ahead inc case,2020-12-05,point,,2020-11-18,16013
29.146389484405518,1 wk ahead inc case,2020-11-28,point,,2020-11-18,50001
52.99855065345764,2 wk ahead inc case,2020-12-05,point,,2020-11-18,50001
412.01040267944336,1 wk ahead inc case,2020-11-28,point,,2020-11-18,47131
758.8686561584473,2 wk ahead inc case,2020-12-05,point,,2020-11-18,47131
77.67440462112427,1 wk ahead inc case,2020-11-28,point,,2020-11-18,16021
139.18182134628296,2 wk ahead inc case,2020-12-05,point,,2020-11-18,16021
403.1622924804688,1 wk ahead inc case,2020-11-28,point,,2020-11-18,5035
765.2743797302251,2 wk ahead inc case,2020-12-05,point,,2020-11-18,5035
325.48676681518515,1 wk ahead inc case,2020-11-28,point,,2020-11-18,40021
590.676643371582,2 wk ahead inc case,2020-12-05,point,,2020-11-18,40021
22.136090993881172,1 wk ahead inc case,2020-11-28,point,,2020-11-18,51595
44.596595764160156,2 wk ahead inc case,2020-12-05,point,,2020-11-18,51595
10.092611968517296,1 wk ahead inc case,2020-11-28,point,,2020-11-18,16025
18.581590950489048,2 wk ahead inc case,2020-12-05,point,,2020-11-18,16025
179.28030872344948,1 wk ahead inc case,2020-11-28,point,,2020-11-18,22047
339.50115108489985,2 wk ahead inc case,2020-12-05,point,,2020-11-18,22047
32.54190683364868,1 wk ahead inc case,2020-11-28,point,,2020-11-18,46137
60.40871810913086,2 wk ahead inc case,2020-12-05,point,,2020-11-18,46137
830.5888061523438,1 wk ahead inc case,2020-11-28,point,,2020-11-18,39101
1487.3370056152344,2 wk ahead inc case,2020-12-05,point,,2020-11-18,39101
492.35717010498047,1 wk ahead inc case,2020-11-28,point,,2020-11-18,18145
873.8963623046875,2 wk ahead inc case,2020-12-05,point,,2020-11-18,18145
11.074707686901093,1 wk ahead inc case,2020-11-28,point,,2020-11-18,51111
22.048943221569036,2 wk ahead inc case,2020-12-05,point,,2020-11-18,51111
33.97451686859131,1 wk ahead inc case,2020-11-28,point,,2020-11-18,46089
60.02123832702637,2 wk ahead inc case,2020-12-05,point,,2020-11-18,46089
190.47771644592285,1 wk ahead inc case,2020-11-28,point,,2020-11-18,18045
339.7782287597656,2 wk ahead inc case,2020-12-05,point,,2020-11-18,18045
107.49555110931395,1 wk ahead inc case,2020-11-28,point,,2020-11-18,5089
188.9923324584961,2 wk ahead inc case,2020-12-05,point,,2020-11-18,5089
172.85568809509275,1 wk ahead inc case,2020-11-28,point,,2020-11-18,39053
303.80311965942366,2 wk ahead inc case,2020-12-05,point,,2020-11-18,39053
2325.5576629638667,1 wk ahead inc case,2020-11-28,point,,2020-11-18,6111
4311.401962280281,2 wk ahead inc case,2020-12-05,point,,2020-11-18,6111
466.2124519348145,1 wk ahead inc case,2020-11-28,point,,2020-11-18,53071
826.358665466309,2 wk ahead inc case,2020-12-05,point,,2020-11-18,53071
540.4293708801271,1 wk ahead inc case,2020-11-28,point,,2020-11-18,46029
983.478343963623,2 wk ahead inc case,2020-12-05,point,,2020-11-18,46029
10.351499140262609,1 wk ahead inc case,2020-11-28,point,,2020-11-18,31057
18.883530080318447,2 wk ahead inc case,2020-12-05,point,,2020-11-18,31057
74.04246425628662,1 wk ahead inc case,2020-11-28,point,,2020-11-18,47121
133.59345579147342,2 wk ahead inc case,2020-12-05,point,,2020-11-18,47121
182.00411987304688,1 wk ahead inc case,2020-11-28,point,,2020-11-18,30017
319.5779190063477,2 wk ahead inc case,2020-12-05,point,,2020-11-18,30017
315.58674049377436,1 wk ahead inc case,2020-11-28,point,,2020-11-18,56039
564.6641483306885,2 wk ahead inc case,2020-12-05,point,,2020-11-18,56039
275.74797821044916,1 wk ahead inc case,2020-11-28,point,,2020-11-18,29157
501.74083518982,2 wk ahead inc case,2020-12-05,point,,2020-11-18,29157
1580.8665161132812,1 wk ahead inc case,2020-11-28,point,,2020-11-18,12081
3034.042510986328,2 wk ahead inc case,2020-12-05,point,,2020-11-18,12081
44.68446493148804,1 wk ahead inc case,2020-11-28,point,,2020-11-18,13149
80.40271806716919,2 wk ahead inc case,2020-12-05,point,,2020-11-18,13149
205.84111976623532,1 wk ahead inc case,2020-11-28,point,,2020-11-18,29007
374.46680450439453,2 wk ahead inc case,2020-12-05,point,,2020-11-18,29007
1725.8208618164062,1 wk ahead inc case,2020-11-28,point,,2020-11-18,55039
3204.308074951172,2 wk ahead inc case,2020-12-05,point,,2020-11-18,55039
1509.7958602905273,1 wk ahead inc case,2020-11-28,point,,2020-11-18,48061
3184.2909927368164,2 wk ahead inc case,2020-12-05,point,,2020-11-18,48061
396.9907836914065,1 wk ahead inc case,2020-11-28,point,,2020-11-18,55029
719.6803359985347,2 wk ahead inc case,2020-12-05,point,,2020-11-18,55029
120.99056911468506,1 wk ahead inc case,2020-11-28,point,,2020-11-18,51775
227.97704410552976,2 wk ahead inc case,2020-12-05,point,,2020-11-18,51775
