forecast_date,target,location,target_end_date,type,quantile,value
2020-08-10,3 wk ahead inc death,44,2020-08-29,point,,1.22170984632701
2020-08-10,3 wk ahead inc death,55,2020-08-29,point,,93.74107846447771
2020-08-10,3 wk ahead inc death,32,2020-08-29,point,,239.315359498908
2020-08-10,3 wk ahead inc death,19,2020-08-29,point,,67.1935709904665
2020-08-10,3 wk ahead inc death,40,2020-08-29,point,,67.88008574455529
2020-08-10,3 wk ahead inc death,21,2020-08-29,point,,46.26067598756271
2020-08-10,4 wk ahead inc death,US,2020-09-05,point,,14738.9368189566
2020-08-10,4 wk ahead inc death,36,2020-09-05,point,,48.8073022542615
2020-08-10,4 wk ahead inc death,34,2020-09-05,point,,74.7657935256957
2020-08-10,4 wk ahead inc death,06,2020-09-05,point,,1368.0870232187199
2020-08-10,4 wk ahead inc death,48,2020-09-05,point,,3603.01544109208
2020-08-10,4 wk ahead inc death,25,2020-09-05,point,,134.688681976351
2020-08-10,4 wk ahead inc death,12,2020-09-05,point,,2427.14795520989
2020-08-10,4 wk ahead inc death,17,2020-09-05,point,,114.077658454162
2020-08-10,4 wk ahead inc death,42,2020-09-05,point,,160.513622608616
2020-08-10,4 wk ahead inc death,26,2020-09-05,point,,50.623107412025796
2020-08-10,4 wk ahead inc death,09,2020-09-05,point,,69.457270682884
2020-08-10,4 wk ahead inc death,22,2020-09-05,point,,452.311990781273
2020-08-10,4 wk ahead inc death,13,2020-09-05,point,,667.584338608458
2020-08-10,4 wk ahead inc death,04,2020-09-05,point,,868.489589227479
2020-08-10,4 wk ahead inc death,39,2020-09-05,point,,319.310386340998
2020-08-10,4 wk ahead inc death,24,2020-09-05,point,,128.078983561773
2020-08-10,4 wk ahead inc death,18,2020-09-05,point,,74.8382398464599
2020-08-10,4 wk ahead inc death,51,2020-09-05,point,,243.64183773079398
2020-08-10,4 wk ahead inc death,37,2020-09-05,point,,384.539594648044
2020-08-10,4 wk ahead inc death,45,2020-09-05,point,,934.8149614271788
2020-08-10,4 wk ahead inc death,28,2020-09-05,point,,399.9976954165911
2020-08-10,4 wk ahead inc death,08,2020-09-05,point,,81.50983746147591
2020-08-10,4 wk ahead inc death,01,2020-09-05,point,,252.09999436809105
2020-08-10,4 wk ahead inc death,27,2020-09-05,point,,68.8842899669757
2020-08-10,4 wk ahead inc death,53,2020-09-05,point,,93.35877753031679
2020-08-10,4 wk ahead inc death,29,2020-09-05,point,,73.6129917009092
2020-08-10,4 wk ahead inc death,47,2020-09-05,point,,181.630938809362
2020-08-10,4 wk ahead inc death,44,2020-09-05,point,,0.7661992432485341
2020-08-10,4 wk ahead inc death,55,2020-09-05,point,,116.942008384393
2020-08-10,4 wk ahead inc death,32,2020-09-05,point,,322.575856199516
2020-08-10,4 wk ahead inc death,19,2020-09-05,point,,78.50730811722771
2020-08-10,4 wk ahead inc death,40,2020-09-05,point,,77.2534411229146
2020-08-10,4 wk ahead inc death,21,2020-09-05,point,,48.881489211644706
2020-08-10,1 wk ahead cum death,US,2020-08-15,point,,169808.392215441
2020-08-10,1 wk ahead cum death,36,2020-08-15,point,,32835.707975772595
2020-08-10,1 wk ahead cum death,34,2020-08-15,point,,15940.6775537272
2020-08-10,1 wk ahead cum death,06,2020-08-15,point,,11242.222523736002
2020-08-10,1 wk ahead cum death,48,2020-08-15,point,,10993.121804267701
2020-08-10,1 wk ahead cum death,25,2020-08-15,point,,8830.095402532359
2020-08-10,1 wk ahead cum death,12,2020-08-15,point,,9470.81189061182
2020-08-10,1 wk ahead cum death,17,2020-08-15,point,,7947.100455214541
2020-08-10,1 wk ahead cum death,42,2020-08-15,point,,7413.90348628509
2020-08-10,1 wk ahead cum death,26,2020-08-15,point,,6492.002723422171
2020-08-10,1 wk ahead cum death,09,2020-08-15,point,,4465.36080453255
2020-08-10,1 wk ahead cum death,22,2020-08-15,point,,4480.79739268095
2020-08-10,1 wk ahead cum death,13,2020-08-15,point,,4569.22698966184
2020-08-10,1 wk ahead cum death,04,2020-08-15,point,,4686.12588381755
2020-08-10,1 wk ahead cum death,39,2020-08-15,point,,3888.06926095266
