location,target,type,quantile,forecast_date,target_end_date,value
27,6 wk ahead inc death,point,,2020-06-29,2020-08-08,25
41,2 wk ahead cum death,point,,2020-06-29,2020-07-11,237
41,2 wk ahead inc death,point,,2020-06-29,2020-07-11,19
31,3 wk ahead cum death,point,,2020-06-29,2020-07-18,325
31,3 wk ahead inc death,point,,2020-06-29,2020-07-18,17
08,1 wk ahead cum death,point,,2020-06-29,2020-07-04,1728
08,1 wk ahead inc death,point,,2020-06-29,2020-07-04,56
15,4 wk ahead cum death,point,,2020-06-29,2020-07-25,19
15,4 wk ahead inc death,point,,2020-06-29,2020-07-25,2
69,1 wk ahead cum death,point,,2020-06-29,2020-07-04,2
69,1 wk ahead inc death,point,,2020-06-29,2020-07-04,0
42,5 wk ahead cum death,point,,2020-06-29,2020-08-01,7312
42,5 wk ahead inc death,point,,2020-06-29,2020-08-01,90
22,7 wk ahead cum death,point,,2020-06-29,2020-08-15,3426
22,7 wk ahead inc death,point,,2020-06-29,2020-08-15,17
45,7 wk ahead cum death,point,,2020-06-29,2020-08-15,875
45,7 wk ahead inc death,point,,2020-06-29,2020-08-15,12
01,5 wk ahead cum death,point,,2020-06-29,2020-08-01,1100
01,5 wk ahead inc death,point,,2020-06-29,2020-08-01,23
09,7 wk ahead cum death,point,,2020-06-29,2020-08-15,4433
09,7 wk ahead inc death,point,,2020-06-29,2020-08-15,8
47,6 wk ahead cum death,point,,2020-06-29,2020-08-08,748
47,6 wk ahead inc death,point,,2020-06-29,2020-08-08,15
47,2 wk ahead cum death,point,,2020-06-29,2020-07-11,660
47,2 wk ahead inc death,point,,2020-06-29,2020-07-11,36
13,7 wk ahead cum death,point,,2020-06-29,2020-08-15,3586
13,7 wk ahead inc death,point,,2020-06-29,2020-08-15,84
55,2 wk ahead cum death,point,,2020-06-29,2020-07-11,848
55,2 wk ahead inc death,point,,2020-06-29,2020-07-11,34
54,7 wk ahead cum death,point,,2020-06-29,2020-08-15,107
54,7 wk ahead inc death,point,,2020-06-29,2020-08-15,3
US,3 wk ahead cum death,point,,2020-06-29,2020-07-18,134418
US,3 wk ahead inc death,point,,2020-06-29,2020-07-18,2716
18,4 wk ahead cum death,point,,2020-06-29,2020-07-25,2874
18,4 wk ahead inc death,point,,2020-06-29,2020-07-25,44
01,1 wk ahead cum death,point,,2020-06-29,2020-07-04,965
01,1 wk ahead inc death,point,,2020-06-29,2020-07-04,48
46,3 wk ahead cum death,point,,2020-06-29,2020-07-18,115
46,3 wk ahead inc death,point,,2020-06-29,2020-07-18,9
28,1 wk ahead cum death,point,,2020-06-29,2020-07-04,1097
28,1 wk ahead inc death,point,,2020-06-29,2020-07-04,99
34,4 wk ahead cum death,point,,2020-06-29,2020-07-25,15472
34,4 wk ahead inc death,point,,2020-06-29,2020-07-25,79
35,7 wk ahead cum death,point,,2020-06-29,2020-08-15,616
35,7 wk ahead inc death,point,,2020-06-29,2020-08-15,9
37,2 wk ahead cum death,point,,2020-06-29,2020-07-11,1518
37,2 wk ahead inc death,point,,2020-06-29,2020-07-11,82
09,5 wk ahead cum death,point,,2020-06-29,2020-08-01,4420
09,5 wk ahead inc death,point,,2020-06-29,2020-08-01,11
19,5 wk ahead cum death,point,,2020-06-29,2020-08-01,886
19,5 wk ahead inc death,point,,2020-06-29,2020-08-01,25
11,6 wk ahead cum death,point,,2020-06-29,2020-08-08,606
11,6 wk ahead inc death,point,,2020-06-29,2020-08-08,7
44,7 wk ahead cum death,point,,2020-06-29,2020-08-15,1078
44,7 wk ahead inc death,point,,2020-06-29,2020-08-15,10
35,5 wk ahead cum death,point,,2020-06-29,2020-08-01,598
35,5 wk ahead inc death,point,,2020-06-29,2020-08-01,13
02,5 wk ahead cum death,point,,2020-06-29,2020-08-01,14
02,5 wk ahead inc death,point,,2020-06-29,2020-08-01,0
21,5 wk ahead cum death,point,,2020-06-29,2020-08-01,645
21,5 wk ahead inc death,point,,2020-06-29,2020-08-01,12
69,2 wk ahead cum death,point,,2020-06-29,2020-07-11,2
69,2 wk ahead inc death,point,,2020-06-29,2020-07-11,0
45,6 wk ahead cum death,point,,2020-06-29,2020-08-08,865
45,6 wk ahead inc death,point,,2020-06-29,2020-08-08,14
30,3 wk ahead cum death,point,,2020-06-29,2020-07-18,22
30,3 wk ahead inc death,point,,2020-06-29,2020-07-18,0
36,6 wk ahead cum death,point,,2020-06-29,2020-08-08,31687
36,6 wk ahead inc death,point,,2020-06-29,2020-08-08,23
20,7 wk ahead cum death,point,,2020-06-29,2020-08-15,287
20,7 wk ahead inc death,point,,2020-06-29,2020-08-15,4
40,1 wk ahead cum death,point,,2020-06-29,2020-07-04,389
40,1 wk ahead inc death,point,,2020-06-29,2020-07-04,6
08,7 wk ahead cum death,point,,2020-06-29,2020-08-15,1929
08,7 wk ahead inc death,point,,2020-06-29,2020-08-15,20
20,6 wk ahead cum death,point,,2020-06-29,2020-08-08,286
20,6 wk ahead inc death,point,,2020-06-29,2020-08-08,4
02,3 wk ahead cum death,point,,2020-06-29,2020-07-18,14
02,3 wk ahead inc death,point,,2020-06-29,2020-07-18,0
09,1 wk ahead cum death,point,,2020-06-29,2020-07-04,4348
09,1 wk ahead inc death,point,,2020-06-29,2020-07-04,35
48,5 wk ahead cum death,point,,2020-06-29,2020-08-01,3144
48,5 wk ahead inc death,point,,2020-06-29,2020-08-01,104
