forecast_date,target,target_end_date,quantile,value,location,type
2021-01-24,14 day ahead inc hosp,2021-02-07,,71.73931907527769,08,point
2021-01-24,15 day ahead inc hosp,2021-02-08,,61.17064880673405,08,point
2021-01-24,16 day ahead inc hosp,2021-02-09,,98.0192961984495,08,point
2021-01-24,17 day ahead inc hosp,2021-02-10,,94.6556480345165,08,point
2021-01-24,18 day ahead inc hosp,2021-02-11,,90.17748086485352,08,point
2021-01-24,19 day ahead inc hosp,2021-02-12,,90.76138457814974,08,point
2021-01-24,20 day ahead inc hosp,2021-02-13,,77.18613029959545,08,point
2021-01-24,21 day ahead inc hosp,2021-02-14,,61.08183885825181,08,point
2021-01-24,22 day ahead inc hosp,2021-02-15,,50.48117254508562,08,point
2021-01-24,23 day ahead inc hosp,2021-02-16,,87.2834550378351,08,point
2021-01-24,24 day ahead inc hosp,2021-02-17,,83.9340749057437,08,point
2021-01-24,25 day ahead inc hosp,2021-02-18,,79.47977512348838,08,point
2021-01-24,26 day ahead inc hosp,2021-02-19,,80.07506104487894,08,point
2021-01-24,27 day ahead inc hosp,2021-02-20,,66.50954778823501,08,point
2021-01-24,28 day ahead inc hosp,2021-02-21,,50.403419044690324,08,point
2021-01-24,1 day ahead inc hosp,2021-01-25,,125.45786521769622,09,point
2021-01-24,2 day ahead inc hosp,2021-01-26,,149.12425290095922,09,point
2021-01-24,3 day ahead inc hosp,2021-01-27,,145.87501283694237,09,point
2021-01-24,4 day ahead inc hosp,2021-01-28,,150.2740138777873,09,point
2021-01-24,5 day ahead inc hosp,2021-01-29,,143.90525819222574,09,point
2021-01-24,6 day ahead inc hosp,2021-01-30,,138.72105178891346,09,point
2021-01-24,7 day ahead inc hosp,2021-01-31,,119.56120744381205,09,point
2021-01-24,8 day ahead inc hosp,2021-02-01,,121.26731892278843,09,point
2021-01-24,9 day ahead inc hosp,2021-02-02,,146.89981140228429,09,point
2021-01-24,10 day ahead inc hosp,2021-02-03,,140.23640063828574,09,point
2021-01-24,11 day ahead inc hosp,2021-02-04,,141.7217762485529,09,point
2021-01-24,12 day ahead inc hosp,2021-02-05,,139.5211802029583,09,point
2021-01-24,13 day ahead inc hosp,2021-02-06,,136.49317868676243,09,point
2021-01-24,14 day ahead inc hosp,2021-02-07,,113.9145743875309,09,point
2021-01-24,15 day ahead inc hosp,2021-02-08,,117.652410726752,09,point
2021-01-24,16 day ahead inc hosp,2021-02-09,,141.73057991033772,09,point
2021-01-24,17 day ahead inc hosp,2021-02-10,,137.76627504618125,09,point
2021-01-24,18 day ahead inc hosp,2021-02-11,,141.55504561840846,09,point
2021-01-24,19 day ahead inc hosp,2021-02-12,,136.05927037284388,09,point
2021-01-24,20 day ahead inc hosp,2021-02-13,,131.3266600823651,09,point
2021-01-24,21 day ahead inc hosp,2021-02-14,,111.45078976254251,09,point
2021-01-24,22 day ahead inc hosp,2021-02-15,,113.58242622512137,09,point
2021-01-24,23 day ahead inc hosp,2021-02-16,,138.8893808289201,09,point
2021-01-24,24 day ahead inc hosp,2021-02-17,,132.79127150718142,09,point
2021-01-24,25 day ahead inc hosp,2021-02-18,,134.75907075787194,09,point
2021-01-24,26 day ahead inc hosp,2021-02-19,,131.8683315228765,09,point
2021-01-24,27 day ahead inc hosp,2021-02-20,,128.4833163012727,09,point
2021-01-24,28 day ahead inc hosp,2021-02-21,,106.47077331022993,09,point
2021-01-24,1 day ahead inc hosp,2021-01-25,,35.61633403073957,11,point
2021-01-24,2 day ahead inc hosp,2021-01-26,,38.48159401401474,11,point
2021-01-24,3 day ahead inc hosp,2021-01-27,,36.63473639052722,11,point
2021-01-24,4 day ahead inc hosp,2021-01-28,,38.572867490821984,11,point
2021-01-24,5 day ahead inc hosp,2021-01-29,,35.04437814202559,11,point
2021-01-24,6 day ahead inc hosp,2021-01-30,,33.95162936489284,11,point
2021-01-24,7 day ahead inc hosp,2021-01-31,,33.36693748939914,11,point
2021-01-24,8 day ahead inc hosp,2021-02-01,,37.18935972282046,11,point
2021-01-24,9 day ahead inc hosp,2021-02-02,,37.043667483514035,11,point
2021-01-24,10 day ahead inc hosp,2021-02-03,,37.970713004871065,11,point
2021-01-24,11 day ahead inc hosp,2021-02-04,,37.06092578237864,11,point
