location,forecast_date,value,target_end_date,target,type,quantile
1111,2021-04-17,28.00418334,2021-05-08,3 wk ahead inc case,point,
1111,2021-04-17,27.18482802,2021-05-15,4 wk ahead inc case,point,
1113,2021-04-17,28.34003095000001,2021-04-24,1 wk ahead inc case,point,
1113,2021-04-17,32.785060040000005,2021-05-01,2 wk ahead inc case,point,
1113,2021-04-17,41.6565707,2021-05-08,3 wk ahead inc case,point,
1113,2021-04-17,34.87455409,2021-05-15,4 wk ahead inc case,point,
1115,2021-04-17,46.26338208,2021-04-24,1 wk ahead inc case,point,
1115,2021-04-17,51.80238464,2021-05-01,2 wk ahead inc case,point,
1115,2021-04-17,55.47237664,2021-05-08,3 wk ahead inc case,point,
1115,2021-04-17,44.74973416,2021-05-15,4 wk ahead inc case,point,
1117,2021-04-17,16.53664392,2021-04-24,1 wk ahead inc case,point,
1117,2021-04-17,83.6955339,2021-05-01,2 wk ahead inc case,point,
1117,2021-04-17,140.46786146,2021-05-08,3 wk ahead inc case,point,
1117,2021-04-17,126.27804509999999,2021-05-15,4 wk ahead inc case,point,
1119,2021-04-17,10.0484722,2021-04-24,1 wk ahead inc case,point,
1119,2021-04-17,20.74613088,2021-05-01,2 wk ahead inc case,point,
1119,2021-04-17,19.82827266,2021-05-08,3 wk ahead inc case,point,
1119,2021-04-17,32.26894236,2021-05-15,4 wk ahead inc case,point,
1121,2021-04-17,52.37119396,2021-04-24,1 wk ahead inc case,point,
1121,2021-04-17,66.56648917999999,2021-05-01,2 wk ahead inc case,point,
1121,2021-04-17,55.02966268,2021-05-08,3 wk ahead inc case,point,
1121,2021-04-17,46.795127799999996,2021-05-15,4 wk ahead inc case,point,
1123,2021-04-17,15.73263458,2021-04-24,1 wk ahead inc case,point,
1123,2021-04-17,23.20335527000001,2021-05-01,2 wk ahead inc case,point,
1123,2021-04-17,13.44907339,2021-05-08,3 wk ahead inc case,point,
1123,2021-04-17,16.748268300000003,2021-05-15,4 wk ahead inc case,point,
1125,2021-04-17,122.5396686,2021-04-24,1 wk ahead inc case,point,
1125,2021-04-17,162.91378035,2021-05-01,2 wk ahead inc case,point,
1125,2021-04-17,201.19434209999997,2021-05-08,3 wk ahead inc case,point,
1125,2021-04-17,122.6987784,2021-05-15,4 wk ahead inc case,point,
1127,2021-04-17,31.31394737,2021-04-24,1 wk ahead inc case,point,
1127,2021-04-17,68.51248018,2021-05-01,2 wk ahead inc case,point,
1127,2021-04-17,99.45800575,2021-05-08,3 wk ahead inc case,point,
1127,2021-04-17,113.20458536,2021-05-15,4 wk ahead inc case,point,
1129,2021-04-17,2.8914978599999994,2021-04-24,1 wk ahead inc case,point,
1129,2021-04-17,7.6821993000000015,2021-05-01,2 wk ahead inc case,point,
1129,2021-04-17,11.78753526,2021-05-08,3 wk ahead inc case,point,
1129,2021-04-17,25.50708936,2021-05-15,4 wk ahead inc case,point,
1131,2021-04-17,0.0,2021-04-24,1 wk ahead inc case,point,
1131,2021-04-17,3.14063321,2021-05-01,2 wk ahead inc case,point,
1131,2021-04-17,15.23046844,2021-05-08,3 wk ahead inc case,point,
1131,2021-04-17,14.03290559,2021-05-15,4 wk ahead inc case,point,
1133,2021-04-17,14.176691129999998,2021-04-24,1 wk ahead inc case,point,
1133,2021-04-17,63.43890291,2021-05-01,2 wk ahead inc case,point,
1133,2021-04-17,59.13984265,2021-05-08,3 wk ahead inc case,point,
1133,2021-04-17,102.47401091,2021-05-15,4 wk ahead inc case,point,
2013,2021-04-17,5.76109691,2021-04-24,1 wk ahead inc case,point,
2013,2021-04-17,47.68726502000001,2021-05-01,2 wk ahead inc case,point,
2013,2021-04-17,75.19068554,2021-05-08,3 wk ahead inc case,point,
2013,2021-04-17,92.34233162,2021-05-15,4 wk ahead inc case,point,
2016,2021-04-17,14.19835608,2021-04-24,1 wk ahead inc case,point,
2016,2021-04-17,9.84614742,2021-05-01,2 wk ahead inc case,point,
2016,2021-04-17,23.99052978000001,2021-05-08,3 wk ahead inc case,point,
2016,2021-04-17,19.90740096,2021-05-15,4 wk ahead inc case,point,
2020,2021-04-17,582.11424,2021-04-24,1 wk ahead inc case,point,
2020,2021-04-17,609.58368,2021-05-01,2 wk ahead inc case,point,
2020,2021-04-17,909.5184,2021-05-08,3 wk ahead inc case,point,
2020,2021-04-17,443.06496000000016,2021-05-15,4 wk ahead inc case,point,
2050,2021-04-17,72.50647802,2021-04-24,1 wk ahead inc case,point,
2050,2021-04-17,32.25290506,2021-05-01,2 wk ahead inc case,point,
2050,2021-04-17,67.36575241999999,2021-05-08,3 wk ahead inc case,point,
2050,2021-04-17,55.33487331999999,2021-05-15,4 wk ahead inc case,point,
2060,2021-04-17,0.46766676,2021-04-24,1 wk ahead inc case,point,
2060,2021-04-17,0.27526136,2021-05-01,2 wk ahead inc case,point,
2060,2021-04-17,0.01672,2021-05-08,3 wk ahead inc case,point,
2060,2021-04-17,0.0027170000000000002,2021-05-15,4 wk ahead inc case,point,
2070,2021-04-17,5.9452137600000015,2021-04-24,1 wk ahead inc case,point,
2070,2021-04-17,4.05746976,2021-05-01,2 wk ahead inc case,point,
2070,2021-04-17,5.80146992,2021-05-08,3 wk ahead inc case,point,
2070,2021-04-17,8.297962199999999,2021-05-15,4 wk ahead inc case,point,
2090,2021-04-17,128.49053679,2021-04-24,1 wk ahead inc case,point,
2090,2021-04-17,200.43094248,2021-05-01,2 wk ahead inc case,point,
2090,2021-04-17,156.40726104,2021-05-08,3 wk ahead inc case,point,
2090,2021-04-17,220.68981630000002,2021-05-15,4 wk ahead inc case,point,
2100,2021-04-17,0.1941775,2021-04-24,1 wk ahead inc case,point,
2100,2021-04-17,0.0523204,2021-05-01,2 wk ahead inc case,point,
2100,2021-04-17,0.9735187,2021-05-08,3 wk ahead inc case,point,
2100,2021-04-17,1.5196444999999998,2021-05-15,4 wk ahead inc case,point,
2110,2021-04-17,30.4120701,2021-04-24,1 wk ahead inc case,point,
2110,2021-04-17,27.744479280000004,2021-05-01,2 wk ahead inc case,point,
2110,2021-04-17,36.31063362,2021-05-08,3 wk ahead inc case,point,
2110,2021-04-17,36.50119866000001,2021-05-15,4 wk ahead inc case,point,
2122,2021-04-17,73.50006768,2021-04-24,1 wk ahead inc case,point,
2122,2021-04-17,120.00326156,2021-05-01,2 wk ahead inc case,point,
2122,2021-04-17,146.96608472,2021-05-08,3 wk ahead inc case,point,
2122,2021-04-17,66.43103740000001,2021-05-15,4 wk ahead inc case,point,
2150,2021-04-17,28.49798502,2021-04-24,1 wk ahead inc case,point,
2150,2021-04-17,25.221319199999996,2021-05-01,2 wk ahead inc case,point,
2150,2021-04-17,21.95128236,2021-05-08,3 wk ahead inc case,point,
2150,2021-04-17,29.31971858,2021-05-15,4 wk ahead inc case,point,
2164,2021-04-17,6.40444088,2021-04-24,1 wk ahead inc case,point,
2164,2021-04-17,12.11211112,2021-05-01,2 wk ahead inc case,point,
2164,2021-04-17,1.98758016,2021-05-08,3 wk ahead inc case,point,
2164,2021-04-17,4.1420656000000005,2021-05-15,4 wk ahead inc case,point,
2170,2021-04-17,342.53734812,2021-04-24,1 wk ahead inc case,point,
