,Unnamed: 0,forecast_date,target,target_end_date,location,type,quantile,value
127,15.0,2020-05-03,7 day ahead inc death,2020-05-10,US,point,,1933
128,0.0,2020-05-10,1 day ahead cum death,2020-05-11,US,point,,81462
129,1.0,2020-05-10,1 day ahead inc death,2020-05-11,US,point,,1936
130,2.0,2020-05-10,1 wk ahead cum death,2020-05-16,US,point,,91176
131,3.0,2020-05-10,1 wk ahead inc death,2020-05-16,US,point,,14351
132,4.0,2020-05-10,2 day ahead cum death,2020-05-12,US,point,,83409
133,5.0,2020-05-10,2 day ahead inc death,2020-05-12,US,point,,1932
134,6.0,2020-05-10,3 day ahead cum death,2020-05-13,US,point,,85340
135,7.0,2020-05-10,3 day ahead inc death,2020-05-13,US,point,,1929
136,8.0,2020-05-10,4 day ahead cum death,2020-05-14,US,point,,87273
137,9.0,2020-05-10,4 day ahead inc death,2020-05-14,US,point,,1934
138,10.0,2020-05-10,5 day ahead cum death,2020-05-15,US,point,,89218
139,11.0,2020-05-10,5 day ahead inc death,2020-05-15,US,point,,1946
140,12.0,2020-05-10,6 day ahead cum death,2020-05-16,US,point,,91176
141,13.0,2020-05-10,6 day ahead inc death,2020-05-16,US,point,,1959
142,14.0,2020-05-10,7 day ahead cum death,2020-05-17,US,point,,93146
143,15.0,2020-05-10,7 day ahead inc death,2020-05-17,US,point,,1973
144,0.0,2020-05-17,1 day ahead cum death,2020-05-18,US,point,,91026
145,1.0,2020-05-17,1 day ahead inc death,2020-05-18,US,point,,1464
146,2.0,2020-05-17,1 wk ahead cum death,2020-05-23,US,point,,98043
147,3.0,2020-05-17,1 wk ahead inc death,2020-05-23,US,point,,10630
148,4.0,2020-05-17,2 day ahead cum death,2020-05-19,US,point,,92468
149,5.0,2020-05-17,2 day ahead inc death,2020-05-19,US,point,,1443
150,6.0,2020-05-17,3 day ahead cum death,2020-05-20,US,point,,93892
151,7.0,2020-05-17,3 day ahead inc death,2020-05-20,US,point,,1421
152,8.0,2020-05-17,4 day ahead cum death,2020-05-21,US,point,,95293
153,9.0,2020-05-17,4 day ahead inc death,2020-05-21,US,point,,1402
154,10.0,2020-05-17,5 day ahead cum death,2020-05-22,US,point,,96678
155,11.0,2020-05-17,5 day ahead inc death,2020-05-22,US,point,,1382
