location,forecast_date,quantile,value,target,target_end_date,type
26,2020-07-20,,68.0,3 wk ahead inc death,2020-08-08,point
27,2020-07-20,,53.0,3 wk ahead inc death,2020-08-08,point
28,2020-07-20,,108.0,3 wk ahead inc death,2020-08-08,point
29,2020-07-20,,57.0,3 wk ahead inc death,2020-08-08,point
30,2020-07-20,,5.0,3 wk ahead inc death,2020-08-08,point
31,2020-07-20,,8.0,3 wk ahead inc death,2020-08-08,point
32,2020-07-20,,86.0,3 wk ahead inc death,2020-08-08,point
33,2020-07-20,,6.0,3 wk ahead inc death,2020-08-08,point
34,2020-07-20,,134.0,3 wk ahead inc death,2020-08-08,point
35,2020-07-20,,34.0,3 wk ahead inc death,2020-08-08,point
36,2020-07-20,,136.0,3 wk ahead inc death,2020-08-08,point
37,2020-07-20,,166.0,3 wk ahead inc death,2020-08-08,point
38,2020-07-20,,6.0,3 wk ahead inc death,2020-08-08,point
39,2020-07-20,,133.0,3 wk ahead inc death,2020-08-08,point
40,2020-07-20,,41.0,3 wk ahead inc death,2020-08-08,point
41,2020-07-20,,28.0,3 wk ahead inc death,2020-08-08,point
42,2020-07-20,,116.0,3 wk ahead inc death,2020-08-08,point
44,2020-07-20,,12.0,3 wk ahead inc death,2020-08-08,point
45,2020-07-20,,180.0,3 wk ahead inc death,2020-08-08,point
46,2020-07-20,,9.0,3 wk ahead inc death,2020-08-08,point
47,2020-07-20,,134.0,3 wk ahead inc death,2020-08-08,point
48,2020-07-20,,740.0,3 wk ahead inc death,2020-08-08,point
49,2020-07-20,,42.0,3 wk ahead inc death,2020-08-08,point
50,2020-07-20,,0.0,3 wk ahead inc death,2020-08-08,point
51,2020-07-20,,103.0,3 wk ahead inc death,2020-08-08,point
53,2020-07-20,,74.0,3 wk ahead inc death,2020-08-08,point
54,2020-07-20,,6.0,3 wk ahead inc death,2020-08-08,point
55,2020-07-20,,32.0,3 wk ahead inc death,2020-08-08,point
56,2020-07-20,,2.0,3 wk ahead inc death,2020-08-08,point
72,2020-07-20,,17.0,3 wk ahead inc death,2020-08-08,point
1,2020-07-20,,142.0,4 wk ahead inc death,2020-08-15,point
2,2020-07-20,,3.0,4 wk ahead inc death,2020-08-15,point
4,2020-07-20,,448.0,4 wk ahead inc death,2020-08-15,point
5,2020-07-20,,62.0,4 wk ahead inc death,2020-08-15,point
6,2020-07-20,,768.0,4 wk ahead inc death,2020-08-15,point
8,2020-07-20,,35.0,4 wk ahead inc death,2020-08-15,point
9,2020-07-20,,20.0,4 wk ahead inc death,2020-08-15,point
10,2020-07-20,,0.0,4 wk ahead inc death,2020-08-15,point
11,2020-07-20,,0.0,4 wk ahead inc death,2020-08-15,point
12,2020-07-20,,909.0,4 wk ahead inc death,2020-08-15,point
13,2020-07-20,,254.0,4 wk ahead inc death,2020-08-15,point
15,2020-07-20,,2.0,4 wk ahead inc death,2020-08-15,point
16,2020-07-20,,29.0,4 wk ahead inc death,2020-08-15,point
17,2020-07-20,,128.0,4 wk ahead inc death,2020-08-15,point
18,2020-07-20,,68.0,4 wk ahead inc death,2020-08-15,point
19,2020-07-20,,38.0,4 wk ahead inc death,2020-08-15,point
20,2020-07-20,,34.0,4 wk ahead inc death,2020-08-15,point
21,2020-07-20,,32.0,4 wk ahead inc death,2020-08-15,point
