location,quantile,target,value,type,forecast_date,target_end_date
09,,2 wk ahead inc case,360.05450000000013,point,2020-08-31,2020-09-12
09,,2 wk ahead cum death,4517.017,point,2020-08-31,2020-09-12
10,,2 wk ahead inc death,5.7195,point,2020-08-31,2020-09-12
10,,2 wk ahead inc case,255.59799999999998,point,2020-08-31,2020-09-12
10,,2 wk ahead cum death,615.9499999999998,point,2020-08-31,2020-09-12
11,,2 wk ahead inc death,6.556000000000001,point,2020-08-31,2020-09-12
11,,2 wk ahead inc case,132.5135,point,2020-08-31,2020-09-12
11,,2 wk ahead cum death,621.293,point,2020-08-31,2020-09-12
12,,2 wk ahead inc death,163.243,point,2020-08-31,2020-09-12
12,,2 wk ahead inc case,19128.5495,point,2020-08-31,2020-09-12
12,,2 wk ahead cum death,11293.506500000005,point,2020-08-31,2020-09-12
13,,2 wk ahead inc death,165.77650000000003,point,2020-08-31,2020-09-12
13,,2 wk ahead inc case,12283.3295,point,2020-08-31,2020-09-12
13,,2 wk ahead cum death,5822.2310000000025,point,2020-08-31,2020-09-12
15,,2 wk ahead inc death,9.7345,point,2020-08-31,2020-09-12
15,,2 wk ahead inc case,1802.7545,point,2020-08-31,2020-09-12
15,,2 wk ahead cum death,78.303,point,2020-08-31,2020-09-12
16,,2 wk ahead inc death,14.301999999999992,point,2020-08-31,2020-09-12
16,,2 wk ahead inc case,3240.546,point,2020-08-31,2020-09-12
16,,2 wk ahead cum death,378.93599999999986,point,2020-08-31,2020-09-12
17,,2 wk ahead inc death,265.43850000000003,point,2020-08-31,2020-09-12
17,,2 wk ahead inc case,10083.845,point,2020-08-31,2020-09-12
17,,2 wk ahead cum death,8763.0985,point,2020-08-31,2020-09-12
18,,2 wk ahead inc death,140.3505,point,2020-08-31,2020-09-12
18,,2 wk ahead inc case,5089.862,point,2020-08-31,2020-09-12
18,,2 wk ahead cum death,3573.8805,point,2020-08-31,2020-09-12
19,,2 wk ahead inc death,83.4005,point,2020-08-31,2020-09-12
19,,2 wk ahead inc case,9014.3105,point,2020-08-31,2020-09-12
19,,2 wk ahead cum death,1268.9045000000006,point,2020-08-31,2020-09-12
20,,2 wk ahead inc death,37.1155,point,2020-08-31,2020-09-12
20,,2 wk ahead inc case,5457.629500000001,point,2020-08-31,2020-09-12
20,,2 wk ahead cum death,515.7189999999998,point,2020-08-31,2020-09-12
