,location,target,type,quantile,forecast_date,target_end_date,value
4798,6,2 wk ahead cum death,point,,2020-06-18,2020-07-04,7202.2754
4799,8,2 wk ahead cum death,point,,2020-06-18,2020-07-04,1746.4772
4800,9,2 wk ahead cum death,point,,2020-06-18,2020-07-04,4437.999
4801,11,2 wk ahead cum death,point,,2020-06-18,2020-07-04,542.836
4802,10,2 wk ahead cum death,point,,2020-06-18,2020-07-04,488.98596
4803,12,2 wk ahead cum death,point,,2020-06-18,2020-07-04,4124.145
4804,13,2 wk ahead cum death,point,,2020-06-18,2020-07-04,2957.5723
4805,15,2 wk ahead cum death,point,,2020-06-18,2020-07-04,18.477617
4806,19,2 wk ahead cum death,point,,2020-06-18,2020-07-04,830.63153
4807,16,2 wk ahead cum death,point,,2020-06-18,2020-07-04,101.89717
4808,17,2 wk ahead cum death,point,,2020-06-18,2020-07-04,7127.7959999999985
4809,18,2 wk ahead cum death,point,,2020-06-18,2020-07-04,2793.494
4810,20,2 wk ahead cum death,point,,2020-06-18,2020-07-04,289.6215200000001
4811,21,2 wk ahead cum death,point,,2020-06-18,2020-07-04,764.2272
4812,22,2 wk ahead cum death,point,,2020-06-18,2020-07-04,3305.491
4813,25,2 wk ahead cum death,point,,2020-06-18,2020-07-04,8159.0117
4814,24,2 wk ahead cum death,point,,2020-06-18,2020-07-04,3562.3809
4815,23,2 wk ahead cum death,point,,2020-06-18,2020-07-04,132.53491
4816,26,2 wk ahead cum death,point,,2020-06-18,2020-07-04,6859.885
4817,27,2 wk ahead cum death,point,,2020-06-18,2020-07-04,1714.4502
4818,29,2 wk ahead cum death,point,,2020-06-18,2020-07-04,1244.3624
4819,28,2 wk ahead cum death,point,,2020-06-18,2020-07-04,1279.8019
4820,30,2 wk ahead cum death,point,,2020-06-18,2020-07-04,21.898083
4821,37,2 wk ahead cum death,point,,2020-06-18,2020-07-04,1469.3955
4822,38,2 wk ahead cum death,point,,2020-06-18,2020-07-04,99.96795
4823,31,2 wk ahead cum death,point,,2020-06-18,2020-07-04,303.67566
4824,33,2 wk ahead cum death,point,,2020-06-18,2020-07-04,445.15176
4825,34,2 wk ahead cum death,point,,2020-06-18,2020-07-04,13177.372
4826,35,2 wk ahead cum death,point,,2020-06-18,2020-07-04,538.97253
4827,32,2 wk ahead cum death,point,,2020-06-18,2020-07-04,552.8745
4828,36,2 wk ahead cum death,point,,2020-06-18,2020-07-04,30912.566000000013
4829,39,2 wk ahead cum death,point,,2020-06-18,2020-07-04,3277.5308
4830,40,2 wk ahead cum death,point,,2020-06-18,2020-07-04,448.52002000000016
4831,41,2 wk ahead cum death,point,,2020-06-18,2020-07-04,213.42159
4832,42,2 wk ahead cum death,point,,2020-06-18,2020-07-04,6826.0703
4833,44,2 wk ahead cum death,point,,2020-06-18,2020-07-04,943.6502
4834,45,2 wk ahead cum death,point,,2020-06-18,2020-07-04,808.9916
4835,46,2 wk ahead cum death,point,,2020-06-18,2020-07-04,111.75363
4836,47,2 wk ahead cum death,point,,2020-06-18,2020-07-04,650.96045
4837,48,2 wk ahead cum death,point,,2020-06-18,2020-07-04,2595.7056
4838,49,2 wk ahead cum death,point,,2020-06-18,2020-07-04,194.92714
4839,51,2 wk ahead cum death,point,,2020-06-18,2020-07-04,1901.9867
4840,50,2 wk ahead cum death,point,,2020-06-18,2020-07-04,58.559097
4841,53,2 wk ahead cum death,point,,2020-06-18,2020-07-04,1378.6691
4842,55,2 wk ahead cum death,point,,2020-06-18,2020-07-04,886.191
4843,54,2 wk ahead cum death,point,,2020-06-18,2020-07-04,121.49142
4844,56,2 wk ahead cum death,point,,2020-06-18,2020-07-04,24.139883
4845,2,2 wk ahead inc death,point,,2020-06-18,2020-07-04,0.8771865000000005
4846,1,2 wk ahead inc death,point,,2020-06-18,2020-07-04,272.66650000000016
4847,5,2 wk ahead inc death,point,,2020-06-18,2020-07-04,62.61888000000002
4848,4,2 wk ahead inc death,point,,2020-06-18,2020-07-04,324.96579999999994
4849,6,2 wk ahead inc death,point,,2020-06-18,2020-07-04,1631.8692
4850,8,2 wk ahead inc death,point,,2020-06-18,2020-07-04,98.93360000000007
4851,9,2 wk ahead inc death,point,,2020-06-18,2020-07-04,170.1539999999995
4852,11,2 wk ahead inc death,point,,2020-06-18,2020-07-04,21.691400000000048
4853,10,2 wk ahead inc death,point,,2020-06-18,2020-07-04,50.39928999999995
4854,12,2 wk ahead inc death,point,,2020-06-18,2020-07-04,918.9330000000003
4855,13,2 wk ahead inc death,point,,2020-06-18,2020-07-04,414.4118999999996
4856,15,2 wk ahead inc death,point,,2020-06-18,2020-07-04,0.08752199999999988
4857,19,2 wk ahead inc death,point,,2020-06-18,2020-07-04,123.79718000000004
4858,16,2 wk ahead inc death,point,,2020-06-18,2020-07-04,9.762859999999991
4859,17,2 wk ahead inc death,point,,2020-06-18,2020-07-04,507.5532999999997
4860,18,2 wk ahead inc death,point,,2020-06-18,2020-07-04,250.4503
4861,20,2 wk ahead inc death,point,,2020-06-18,2020-07-04,32.338040000000035
4862,21,2 wk ahead inc death,point,,2020-06-18,2020-07-04,185.85250000000008
4863,22,2 wk ahead inc death,point,,2020-06-18,2020-07-04,190.31550000000016
