,location,forecast_date,target_end_date,value,target,type,quantile
29336,01101,2020-07-12,2020-07-18,491.7824159907773,1 wk ahead inc case,point,
29337,01101,2020-07-12,2020-07-25,479.6600703058748,2 wk ahead inc case,point,
29338,01101,2020-07-12,2020-08-01,514.1227881465859,3 wk ahead inc case,point,
29339,01101,2020-07-12,2020-08-08,549.9216877444513,4 wk ahead inc case,point,
29340,01103,2020-07-12,2020-07-18,268.407680728988,1 wk ahead inc case,point,
29341,01103,2020-07-12,2020-07-25,267.566716729119,2 wk ahead inc case,point,
29342,01103,2020-07-12,2020-08-01,295.56215292119066,3 wk ahead inc case,point,
29343,01103,2020-07-12,2020-08-08,319.502734114955,4 wk ahead inc case,point,
29344,01113,2020-07-12,2020-07-18,96.64150538234459,1 wk ahead inc case,point,
29345,01113,2020-07-12,2020-07-25,101.55880129736076,2 wk ahead inc case,point,
29346,01113,2020-07-12,2020-08-01,107.78929261252222,3 wk ahead inc case,point,
29347,01113,2020-07-12,2020-08-08,115.99791838340462,4 wk ahead inc case,point,
29348,01115,2020-07-12,2020-07-18,171.77561511975452,1 wk ahead inc case,point,
29349,01115,2020-07-12,2020-07-25,184.8500345098216,2 wk ahead inc case,point,
29350,01115,2020-07-12,2020-08-01,203.8371233168706,3 wk ahead inc case,point,
29351,01115,2020-07-12,2020-08-08,221.53969480160126,4 wk ahead inc case,point,
29352,01117,2020-07-12,2020-07-18,430.5748116347946,1 wk ahead inc case,point,
29353,01117,2020-07-12,2020-07-25,508.94758304778696,2 wk ahead inc case,point,
29354,01117,2020-07-12,2020-08-01,560.8392688549403,3 wk ahead inc case,point,
29355,01117,2020-07-12,2020-08-08,609.1271539810003,4 wk ahead inc case,point,
29356,01121,2020-07-12,2020-07-18,99.53462016128736,1 wk ahead inc case,point,
29357,01121,2020-07-12,2020-07-25,116.90018106872576,2 wk ahead inc case,point,
29358,01121,2020-07-12,2020-08-01,132.87692725890966,3 wk ahead inc case,point,
29359,01121,2020-07-12,2020-08-08,152.71205895666037,4 wk ahead inc case,point,
29360,01125,2020-07-12,2020-07-18,374.62052998553474,1 wk ahead inc case,point,
29361,01125,2020-07-12,2020-07-25,395.27353623462966,2 wk ahead inc case,point,
29362,01125,2020-07-12,2020-08-01,419.6204024439303,3 wk ahead inc case,point,
29363,01125,2020-07-12,2020-08-08,446.5601224486728,4 wk ahead inc case,point,
29364,01127,2020-07-12,2020-07-18,95.98567193488552,1 wk ahead inc case,point,
29365,01127,2020-07-12,2020-07-25,95.04679343022104,2 wk ahead inc case,point,
29366,01127,2020-07-12,2020-08-01,93.395411933224,3 wk ahead inc case,point,
29367,01127,2020-07-12,2020-08-08,87.88481343272444,4 wk ahead inc case,point,
29368,02020,2020-07-12,2020-07-18,204.27754453841996,1 wk ahead inc case,point,
29369,02020,2020-07-12,2020-07-25,233.3599384489312,2 wk ahead inc case,point,
29370,02020,2020-07-12,2020-08-01,276.5214533920276,3 wk ahead inc case,point,
29371,02020,2020-07-12,2020-08-08,312.60489869934247,4 wk ahead inc case,point,
29372,02090,2020-07-12,2020-07-18,120.34604430319708,1 wk ahead inc case,point,
29373,02090,2020-07-12,2020-07-25,149.2536462229459,2 wk ahead inc case,point,
29374,02090,2020-07-12,2020-08-01,171.7892975706061,3 wk ahead inc case,point,
29375,02090,2020-07-12,2020-08-08,183.2778983066621,4 wk ahead inc case,point,
29376,02122,2020-07-12,2020-07-18,44.96912299889987,1 wk ahead inc case,point,
29377,02122,2020-07-12,2020-07-25,49.66129117160078,2 wk ahead inc case,point,
29378,02122,2020-07-12,2020-08-01,58.22946154494393,3 wk ahead inc case,point,
29379,02122,2020-07-12,2020-08-08,66.96403689370939,4 wk ahead inc case,point,
29380,02170,2020-07-12,2020-07-18,45.83963179200446,1 wk ahead inc case,point,
29381,02170,2020-07-12,2020-07-25,47.5855362957802,2 wk ahead inc case,point,
29382,02170,2020-07-12,2020-08-01,58.35236494367332,3 wk ahead inc case,point,
29383,02170,2020-07-12,2020-08-08,68.138664810624,4 wk ahead inc case,point,
29384,04001,2020-07-12,2020-07-18,145.50306050758832,1 wk ahead inc case,point,
29385,04001,2020-07-12,2020-07-25,144.59344858393047,2 wk ahead inc case,point,
29386,04001,2020-07-12,2020-08-01,149.31169004264575,3 wk ahead inc case,point,
29387,04001,2020-07-12,2020-08-08,155.07088863359354,4 wk ahead inc case,point,
29388,04003,2020-07-12,2020-07-18,227.0778699788123,1 wk ahead inc case,point,
29389,04003,2020-07-12,2020-07-25,250.89422329834002,2 wk ahead inc case,point,
29390,04003,2020-07-12,2020-08-01,258.5281339118929,3 wk ahead inc case,point,
29391,04003,2020-07-12,2020-08-08,272.34121414511884,4 wk ahead inc case,point,
29392,04005,2020-07-12,2020-07-18,291.26014435866483,1 wk ahead inc case,point,
29393,04005,2020-07-12,2020-07-25,329.7539906377285,2 wk ahead inc case,point,
29394,04005,2020-07-12,2020-08-01,345.0953106783857,3 wk ahead inc case,point,
29395,04005,2020-07-12,2020-08-08,361.54034428930487,4 wk ahead inc case,point,
29396,04007,2020-07-12,2020-07-18,75.98426520398348,1 wk ahead inc case,point,
29397,04007,2020-07-12,2020-07-25,85.61853754599188,2 wk ahead inc case,point,
29398,04007,2020-07-12,2020-08-01,88.95521290983444,3 wk ahead inc case,point,
29399,04007,2020-07-12,2020-08-08,93.29923857870716,4 wk ahead inc case,point,
29400,04013,2020-07-12,2020-07-18,17824.022441079036,1 wk ahead inc case,point,
29401,04013,2020-07-12,2020-07-25,19146.140646549542,2 wk ahead inc case,point,
29402,04013,2020-07-12,2020-08-01,19034.49629525619,3 wk ahead inc case,point,
29403,04013,2020-07-12,2020-08-08,18410.16631087128,4 wk ahead inc case,point,
29404,04015,2020-07-12,2020-07-18,474.82414385631546,1 wk ahead inc case,point,
29405,04015,2020-07-12,2020-07-25,529.6761751790848,2 wk ahead inc case,point,
29406,04015,2020-07-12,2020-08-01,578.3332111621844,3 wk ahead inc case,point,
29407,04015,2020-07-12,2020-08-08,606.3827444617476,4 wk ahead inc case,point,
29408,04017,2020-07-12,2020-07-18,423.7738849830118,1 wk ahead inc case,point,
29409,04017,2020-07-12,2020-07-25,452.28286461197035,2 wk ahead inc case,point,
29410,04017,2020-07-12,2020-08-01,475.7876861854512,3 wk ahead inc case,point,
29411,04017,2020-07-12,2020-08-08,493.3052218741912,4 wk ahead inc case,point,
29412,04019,2020-07-12,2020-07-18,2384.0224259780425,1 wk ahead inc case,point,
29413,04019,2020-07-12,2020-07-25,2583.247373337503,2 wk ahead inc case,point,
29414,04019,2020-07-12,2020-08-01,2693.6679783232776,3 wk ahead inc case,point,
29415,04019,2020-07-12,2020-08-08,2648.190786630883,4 wk ahead inc case,point,
29416,04021,2020-07-12,2020-07-18,1151.5911014500625,1 wk ahead inc case,point,
29417,04021,2020-07-12,2020-07-25,1336.600976483283,2 wk ahead inc case,point,
29418,04021,2020-07-12,2020-08-01,1448.4025166903648,3 wk ahead inc case,point,
29419,04021,2020-07-12,2020-08-08,1449.6405890041005,4 wk ahead inc case,point,
29420,04025,2020-07-12,2020-07-18,224.90949290653526,1 wk ahead inc case,point,
29421,04025,2020-07-12,2020-07-25,243.98146965509238,2 wk ahead inc case,point,
29422,04025,2020-07-12,2020-08-01,275.86884204819444,3 wk ahead inc case,point,
29423,04025,2020-07-12,2020-08-08,299.8511181736702,4 wk ahead inc case,point,
29424,04027,2020-07-12,2020-07-18,983.4487946057201,1 wk ahead inc case,point,
29425,04027,2020-07-12,2020-07-25,993.4369218169256,2 wk ahead inc case,point,
29426,04027,2020-07-12,2020-08-01,1000.552113659776,3 wk ahead inc case,point,
29427,04027,2020-07-12,2020-08-08,979.6054231036503,4 wk ahead inc case,point,
29428,05007,2020-07-12,2020-07-18,454.2771964610202,1 wk ahead inc case,point,
29429,05007,2020-07-12,2020-07-25,512.5227320714291,2 wk ahead inc case,point,
29430,05007,2020-07-12,2020-08-01,553.4779898190402,3 wk ahead inc case,point,
29431,05007,2020-07-12,2020-08-08,576.6299192029269,4 wk ahead inc case,point,
29432,05031,2020-07-12,2020-07-18,64.29392879537652,1 wk ahead inc case,point,
