,forecast_date,target,location,target_end_date,type,quantile,value
4704,2020-08-10,2 wk ahead cum death,40,2020-08-22,point,,718.965536515097
4728,2020-08-10,2 wk ahead cum death,21,2020-08-22,point,,856.7541983490939
4752,2020-08-10,3 wk ahead cum death,US,2020-08-29,point,,192368.434602318
4776,2020-08-10,3 wk ahead cum death,36,2020-08-29,point,,32950.7920391413
4800,2020-08-10,3 wk ahead cum death,34,2020-08-29,point,,16086.2654215313
4824,2020-08-10,3 wk ahead cum death,06,2020-08-29,point,,13501.693784126699
4848,2020-08-10,3 wk ahead cum death,48,2020-08-29,point,,16255.5368211674
4872,2020-08-10,3 wk ahead cum death,25,2020-08-29,point,,9070.24990357167
4896,2020-08-10,3 wk ahead cum death,12,2020-08-29,point,,13139.9553343123
4920,2020-08-10,3 wk ahead cum death,17,2020-08-29,point,,8166.87752318852
4944,2020-08-10,3 wk ahead cum death,42,2020-08-29,point,,7670.112673487421
4968,2020-08-10,3 wk ahead cum death,26,2020-08-29,point,,6588.492305673481
4992,2020-08-10,3 wk ahead cum death,09,2020-08-29,point,,4548.06027610251
5016,2020-08-10,3 wk ahead cum death,22,2020-08-29,point,,5182.96067875891
5040,2020-08-10,3 wk ahead cum death,13,2020-08-29,point,,5578.799867958311
5064,2020-08-10,3 wk ahead cum death,04,2020-08-29,point,,6066.62830026505
5088,2020-08-10,3 wk ahead cum death,39,2020-08-29,point,,4419.91231743585
5112,2020-08-10,3 wk ahead cum death,24,2020-08-29,point,,3878.9798848585497
5136,2020-08-10,3 wk ahead cum death,18,2020-08-29,point,,3243.9584774020195
5160,2020-08-10,3 wk ahead cum death,51,2020-08-29,point,,2819.16199080764
5184,2020-08-10,3 wk ahead cum death,37,2020-08-29,point,,3007.32256498721
5208,2020-08-10,3 wk ahead cum death,45,2020-08-29,point,,3684.75012545365
5232,2020-08-10,3 wk ahead cum death,28,2020-08-29,point,,2708.2181156513398
5256,2020-08-10,3 wk ahead cum death,08,2020-08-29,point,,2025.0958718252698
5280,2020-08-10,3 wk ahead cum death,01,2020-08-29,point,,2354.19985639713
5304,2020-08-10,3 wk ahead cum death,27,2020-08-29,point,,1841.40913670228
5328,2020-08-10,3 wk ahead cum death,53,2020-08-29,point,,1936.8810218013102
5352,2020-08-10,3 wk ahead cum death,29,2020-08-29,point,,1451.95631586389
5376,2020-08-10,3 wk ahead cum death,47,2020-08-29,point,,1639.4039619114
5400,2020-08-10,3 wk ahead cum death,44,2020-08-29,point,,1020.36877584776
5424,2020-08-10,3 wk ahead cum death,55,2020-08-29,point,,1226.74600280388
5448,2020-08-10,3 wk ahead cum death,32,2020-08-29,point,,1498.34116077528
5472,2020-08-10,3 wk ahead cum death,19,2020-08-29,point,,1103.875742874
5496,2020-08-10,3 wk ahead cum death,40,2020-08-29,point,,786.8456222596519
