,forecast_date,location,target,type,quantile,target_end_date,value
2517,2020-07-27,25,1 wk ahead inc case,point,,2020-08-01,1627.329
2518,2020-07-27,26,1 wk ahead inc case,point,,2020-08-01,4168.7188
2519,2020-07-27,27,1 wk ahead inc case,point,,2020-08-01,3434.6744
2520,2020-07-27,28,1 wk ahead inc case,point,,2020-08-01,6316.2218
2521,2020-07-27,29,1 wk ahead inc case,point,,2020-08-01,5400.0092
2522,2020-07-27,30,1 wk ahead inc case,point,,2020-08-01,634.1024
2523,2020-07-27,31,1 wk ahead inc case,point,,2020-08-01,1439.1960000000001
2524,2020-07-27,32,1 wk ahead inc case,point,,2020-08-01,5922.6194
2525,2020-07-27,33,1 wk ahead inc case,point,,2020-08-01,162.9502
2526,2020-07-27,34,1 wk ahead inc case,point,,2020-08-01,1736.4618
2527,2020-07-27,35,1 wk ahead inc case,point,,2020-08-01,1762.2436
2528,2020-07-27,36,1 wk ahead inc case,point,,2020-08-01,3548.1934
2529,2020-07-27,37,1 wk ahead inc case,point,,2020-08-01,9532.9466
2530,2020-07-27,38,1 wk ahead inc case,point,,2020-08-01,610.8312
2531,2020-07-27,39,1 wk ahead inc case,point,,2020-08-01,7590.4398
2532,2020-07-27,40,1 wk ahead inc case,point,,2020-08-01,4581.5324
2533,2020-07-27,41,1 wk ahead inc case,point,,2020-08-01,1830.4376
2534,2020-07-27,42,1 wk ahead inc case,point,,2020-08-01,5054.4036
2535,2020-07-27,44,1 wk ahead inc case,point,,2020-08-01,352.1672
2536,2020-07-27,45,1 wk ahead inc case,point,,2020-08-01,9652.494
2537,2020-07-27,46,1 wk ahead inc case,point,,2020-08-01,447.0756
2538,2020-07-27,47,1 wk ahead inc case,point,,2020-08-01,10977.2306
2539,2020-07-27,48,1 wk ahead inc case,point,,2020-08-01,45187.6038
2540,2020-07-27,49,1 wk ahead inc case,point,,2020-08-01,3157.1824
2541,2020-07-27,50,1 wk ahead inc case,point,,2020-08-01,43.978
2542,2020-07-27,51,1 wk ahead inc case,point,,2020-08-01,5478.7776
2543,2020-07-27,53,1 wk ahead inc case,point,,2020-08-01,4035.658
2544,2020-07-27,54,1 wk ahead inc case,point,,2020-08-01,916.4792
2545,2020-07-27,55,1 wk ahead inc case,point,,2020-08-01,4667.332
2546,2020-07-27,56,1 wk ahead inc case,point,,2020-08-01,278.5054
2547,2020-07-27,US,1 wk ahead inc case,point,,2020-08-01,348917.3224
2912,2020-07-27,01,2 wk ahead cum death,point,,2020-08-08,2012.6094
2913,2020-07-27,02,2 wk ahead cum death,point,,2020-08-08,29.2384
2914,2020-07-27,04,2 wk ahead cum death,point,,2020-08-08,5774.3536
2915,2020-07-27,05,2 wk ahead cum death,point,,2020-08-08,519.4636
2916,2020-07-27,06,2 wk ahead cum death,point,,2020-08-08,10228.5912
2917,2020-07-27,08,2 wk ahead cum death,point,,2020-08-08,1841.8726
2918,2020-07-27,09,2 wk ahead cum death,point,,2020-08-08,4431.8838
2919,2020-07-27,10,2 wk ahead cum death,point,,2020-08-08,602.7712
2920,2020-07-27,11,2 wk ahead cum death,point,,2020-08-08,587.7306
2921,2020-07-27,12,2 wk ahead cum death,point,,2020-08-08,9377.3454
2922,2020-07-27,13,2 wk ahead cum death,point,,2020-08-08,4055.7794
2923,2020-07-27,15,2 wk ahead cum death,point,,2020-08-08,36.5992
2924,2020-07-27,16,2 wk ahead cum death,point,,2020-08-08,286.1884
2925,2020-07-27,17,2 wk ahead cum death,point,,2020-08-08,7754.024
2926,2020-07-27,18,2 wk ahead cum death,point,,2020-08-08,3020.4014
2927,2020-07-27,19,2 wk ahead cum death,point,,2020-08-08,875.38
2928,2020-07-27,20,2 wk ahead cum death,point,,2020-08-08,380.67699999999996
2929,2020-07-27,21,2 wk ahead cum death,point,,2020-08-08,803.823
2930,2020-07-27,22,2 wk ahead cum death,point,,2020-08-08,4275.0132
2931,2020-07-27,23,2 wk ahead cum death,point,,2020-08-08,125.415
2932,2020-07-27,24,2 wk ahead cum death,point,,2020-08-08,3522.488
2933,2020-07-27,25,2 wk ahead cum death,point,,2020-08-08,8666.8038
2934,2020-07-27,26,2 wk ahead cum death,point,,2020-08-08,6485.9704
2935,2020-07-27,27,2 wk ahead cum death,point,,2020-08-08,1650.3804
2936,2020-07-27,28,2 wk ahead cum death,point,,2020-08-08,1795.6144
2937,2020-07-27,29,2 wk ahead cum death,point,,2020-08-08,1336.9642
2938,2020-07-27,30,2 wk ahead cum death,point,,2020-08-08,84.3982
2939,2020-07-27,31,2 wk ahead cum death,point,,2020-08-08,346.2536
2940,2020-07-27,32,2 wk ahead cum death,point,,2020-08-08,960.3192
2941,2020-07-27,33,2 wk ahead cum death,point,,2020-08-08,424.6708
