,location,target,type,quantile,forecast_date,target_end_date,value
3454,21,3 wk ahead inc death,point,,2020-06-21,2020-07-11,31.01905713
3455,21,4 wk ahead inc death,point,,2020-06-21,2020-07-18,31.85514442
3548,22,1 wk ahead cum death,point,,2020-06-21,2020-06-27,3212.299238
3549,22,2 wk ahead cum death,point,,2020-06-21,2020-07-04,3336.636092
3550,22,3 wk ahead cum death,point,,2020-06-21,2020-07-11,3475.5462390000002
3551,22,4 wk ahead cum death,point,,2020-06-21,2020-07-18,3623.876907
3644,22,1 wk ahead inc death,point,,2020-06-21,2020-06-27,108.2992376
3645,22,2 wk ahead inc death,point,,2020-06-21,2020-07-04,124.3368548
3646,22,3 wk ahead inc death,point,,2020-06-21,2020-07-11,138.9101461
3647,22,4 wk ahead inc death,point,,2020-06-21,2020-07-18,148.3306686
3740,25,1 wk ahead cum death,point,,2020-06-21,2020-06-27,7995.619153000002
3741,25,2 wk ahead cum death,point,,2020-06-21,2020-07-04,8105.878924
3742,25,3 wk ahead cum death,point,,2020-06-21,2020-07-11,8178.493897
3743,25,4 wk ahead cum death,point,,2020-06-21,2020-07-18,8226.525276
3836,25,1 wk ahead inc death,point,,2020-06-21,2020-06-27,168.61915269999997
3837,25,2 wk ahead inc death,point,,2020-06-21,2020-07-04,110.2597713
3838,25,3 wk ahead inc death,point,,2020-06-21,2020-07-11,72.61497267
3839,25,4 wk ahead inc death,point,,2020-06-21,2020-07-18,48.03137974
3932,24,1 wk ahead cum death,point,,2020-06-21,2020-06-27,3144.144766
3933,24,2 wk ahead cum death,point,,2020-06-21,2020-07-04,3206.489764
3934,24,3 wk ahead cum death,point,,2020-06-21,2020-07-11,3249.5408899999998
3935,24,4 wk ahead cum death,point,,2020-06-21,2020-07-18,3278.496652
4028,24,1 wk ahead inc death,point,,2020-06-21,2020-06-27,92.14476604
4029,24,2 wk ahead inc death,point,,2020-06-21,2020-07-04,62.34499788
4030,24,3 wk ahead inc death,point,,2020-06-21,2020-07-11,43.05112575
4031,24,4 wk ahead inc death,point,,2020-06-21,2020-07-18,28.95576201
4124,23,1 wk ahead cum death,point,,2020-06-21,2020-06-27,103.1657553
4125,23,2 wk ahead cum death,point,,2020-06-21,2020-07-04,104.4598815
4126,23,3 wk ahead cum death,point,,2020-06-21,2020-07-11,105.62249309999999
4127,23,4 wk ahead cum death,point,,2020-06-21,2020-07-18,106.57358899999998
4220,23,1 wk ahead inc death,point,,2020-06-21,2020-06-27,1.1657553459999999
4221,23,2 wk ahead inc death,point,,2020-06-21,2020-07-04,1.294126192
4222,23,3 wk ahead inc death,point,,2020-06-21,2020-07-11,1.162611595
4223,23,4 wk ahead inc death,point,,2020-06-21,2020-07-18,0.95109584
4316,26,1 wk ahead cum death,point,,2020-06-21,2020-06-27,6168.196352
4317,26,2 wk ahead cum death,point,,2020-06-21,2020-07-04,6266.845989
4318,26,3 wk ahead cum death,point,,2020-06-21,2020-07-11,6370.004929
4319,26,4 wk ahead cum death,point,,2020-06-21,2020-07-18,6487.527506
4412,26,1 wk ahead inc death,point,,2020-06-21,2020-06-27,81.19635218
4413,26,2 wk ahead inc death,point,,2020-06-21,2020-07-04,98.64963727
4414,26,3 wk ahead inc death,point,,2020-06-21,2020-07-11,103.15893990000001
4415,26,4 wk ahead inc death,point,,2020-06-21,2020-07-18,117.52257639999999
4508,27,1 wk ahead cum death,point,,2020-06-21,2020-06-27,1481.4415470000001
4509,27,2 wk ahead cum death,point,,2020-06-21,2020-07-04,1552.358401
4510,27,3 wk ahead cum death,point,,2020-06-21,2020-07-11,1606.7146460000001
4511,27,4 wk ahead cum death,point,,2020-06-21,2020-07-18,1646.444757
4604,27,1 wk ahead inc death,point,,2020-06-21,2020-06-27,77.44154749
4605,27,2 wk ahead inc death,point,,2020-06-21,2020-07-04,70.91685307
4606,27,3 wk ahead inc death,point,,2020-06-21,2020-07-11,54.35624516
4607,27,4 wk ahead inc death,point,,2020-06-21,2020-07-18,39.73011085
4700,29,1 wk ahead cum death,point,,2020-06-21,2020-06-27,1045.246188
4701,29,2 wk ahead cum death,point,,2020-06-21,2020-07-04,1150.6967539999996
4702,29,3 wk ahead cum death,point,,2020-06-21,2020-07-11,1272.008319
4703,29,4 wk ahead cum death,point,,2020-06-21,2020-07-18,1417.4190130000006
4796,29,1 wk ahead inc death,point,,2020-06-21,2020-06-27,80.24618764
4797,29,2 wk ahead inc death,point,,2020-06-21,2020-07-04,105.4505662
4798,29,3 wk ahead inc death,point,,2020-06-21,2020-07-11,121.31156499999999
4799,29,4 wk ahead inc death,point,,2020-06-21,2020-07-18,145.4106946
4892,28,1 wk ahead cum death,point,,2020-06-21,2020-06-27,969.4893651000001
4893,28,2 wk ahead cum death,point,,2020-06-21,2020-07-04,994.4158455
4894,28,3 wk ahead cum death,point,,2020-06-21,2020-07-11,1014.1280230000001
4895,28,4 wk ahead cum death,point,,2020-06-21,2020-07-18,1027.413693
4988,28,1 wk ahead inc death,point,,2020-06-21,2020-06-27,31.48936512
4989,28,2 wk ahead inc death,point,,2020-06-21,2020-07-04,24.92648033
4990,28,3 wk ahead inc death,point,,2020-06-21,2020-07-11,19.71217731
4991,28,4 wk ahead inc death,point,,2020-06-21,2020-07-18,13.28567001
5084,30,1 wk ahead cum death,point,,2020-06-21,2020-06-27,22.89550563
5085,30,2 wk ahead cum death,point,,2020-06-21,2020-07-04,27.37436368
5086,30,3 wk ahead cum death,point,,2020-06-21,2020-07-11,32.78468739
5087,30,4 wk ahead cum death,point,,2020-06-21,2020-07-18,39.53610835
5180,30,1 wk ahead inc death,point,,2020-06-21,2020-06-27,2.895505627
5181,30,2 wk ahead inc death,point,,2020-06-21,2020-07-04,4.478858054
5182,30,3 wk ahead inc death,point,,2020-06-21,2020-07-11,5.410323707000001
5183,30,4 wk ahead inc death,point,,2020-06-21,2020-07-18,6.751420962999999
5276,37,1 wk ahead cum death,point,,2020-06-21,2020-06-27,1285.333025
5277,37,2 wk ahead cum death,point,,2020-06-21,2020-07-04,1354.1661550000001
5278,37,3 wk ahead cum death,point,,2020-06-21,2020-07-11,1412.209685
5279,37,4 wk ahead cum death,point,,2020-06-21,2020-07-18,1458.726778
5372,37,1 wk ahead inc death,point,,2020-06-21,2020-06-27,70.33302464
5373,37,2 wk ahead inc death,point,,2020-06-21,2020-07-04,68.83313047
5374,37,3 wk ahead inc death,point,,2020-06-21,2020-07-11,58.04353013
5375,37,4 wk ahead inc death,point,,2020-06-21,2020-07-18,46.5170929
5468,38,1 wk ahead cum death,point,,2020-06-21,2020-06-27,80.15067005
