forecast_date,target,target_end_date,quantile,type,location,value
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1063,21.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1063,17.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1063,14.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1065,97.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1065,100.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1065,91.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1065,64.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1067,85.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1067,83.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1067,79.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1067,63.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1069,433.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1069,406.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1069,391.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1069,362.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1071,236.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1071,194.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1071,166.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1071,136.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1073,3592.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1073,3245.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1073,2779.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1073,2219.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1075,61.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1075,59.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1075,46.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1075,28.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1077,452.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1077,451.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1077,440.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1077,390.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1079,154.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1079,156.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1079,147.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1079,116.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1081,838.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1081,961.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1081,1008.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1081,943.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1083,474.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1083,460.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1083,394.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1083,276.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1085,45.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1085,48.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1085,54.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1085,58.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1087,44.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1087,43.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1087,41.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1087,34.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1089,1750.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1089,1649.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1089,1433.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1089,997.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1091,105.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1091,113.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1091,104.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1091,74.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1093,132.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1093,122.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1093,99.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1093,72.0
