quantile,value,type,location,target,forecast_date,target_end_date
,270,point,35,2 wk ahead cum death,2020-05-03,2020-05-16
,349,point,35,3 wk ahead cum death,2020-05-03,2020-05-23
,444,point,35,4 wk ahead cum death,2020-05-03,2020-05-30
,281,point,32,1 wk ahead cum death,2020-05-03,2020-05-09
,309,point,32,2 wk ahead cum death,2020-05-03,2020-05-16
,333,point,32,3 wk ahead cum death,2020-05-03,2020-05-23
,354,point,32,4 wk ahead cum death,2020-05-03,2020-05-30
,25512,point,36,1 wk ahead cum death,2020-05-03,2020-05-09
,26403,point,36,2 wk ahead cum death,2020-05-03,2020-05-16
,26928,point,36,3 wk ahead cum death,2020-05-03,2020-05-23
,27379,point,36,4 wk ahead cum death,2020-05-03,2020-05-30
,1374,point,39,1 wk ahead cum death,2020-05-03,2020-05-09
,1733,point,39,2 wk ahead cum death,2020-05-03,2020-05-16
,2143,point,39,3 wk ahead cum death,2020-05-03,2020-05-23
,2580,point,39,4 wk ahead cum death,2020-05-03,2020-05-30
,264,point,40,1 wk ahead cum death,2020-05-03,2020-05-09
,292,point,40,2 wk ahead cum death,2020-05-03,2020-05-16
,315,point,40,3 wk ahead cum death,2020-05-03,2020-05-23
,337,point,40,4 wk ahead cum death,2020-05-03,2020-05-30
,120,point,41,1 wk ahead cum death,2020-05-03,2020-05-09
,129,point,41,2 wk ahead cum death,2020-05-03,2020-05-16
,136,point,41,3 wk ahead cum death,2020-05-03,2020-05-23
,142,point,41,4 wk ahead cum death,2020-05-03,2020-05-30
,3354,point,42,1 wk ahead cum death,2020-05-03,2020-05-09
,3896,point,42,2 wk ahead cum death,2020-05-03,2020-05-16
,4322,point,42,3 wk ahead cum death,2020-05-03,2020-05-23
,4695,point,42,4 wk ahead cum death,2020-05-03,2020-05-30
,382,point,44,1 wk ahead cum death,2020-05-03,2020-05-09
,447,point,44,2 wk ahead cum death,2020-05-03,2020-05-16
,504,point,44,3 wk ahead cum death,2020-05-03,2020-05-23
,548,point,44,4 wk ahead cum death,2020-05-03,2020-05-30
,375,point,45,1 wk ahead cum death,2020-05-03,2020-05-09
,542,point,45,2 wk ahead cum death,2020-05-03,2020-05-16
,795,point,45,3 wk ahead cum death,2020-05-03,2020-05-23
,1161,point,45,4 wk ahead cum death,2020-05-03,2020-05-30
,30,point,46,1 wk ahead cum death,2020-05-03,2020-05-09
,47,point,46,2 wk ahead cum death,2020-05-03,2020-05-16
,73,point,46,3 wk ahead cum death,2020-05-03,2020-05-23
,112,point,46,4 wk ahead cum death,2020-05-03,2020-05-30
,211,point,47,1 wk ahead cum death,2020-05-03,2020-05-09
,219,point,47,2 wk ahead cum death,2020-05-03,2020-05-16
,224,point,47,3 wk ahead cum death,2020-05-03,2020-05-23
,227,point,47,4 wk ahead cum death,2020-05-03,2020-05-30
,1032,point,48,1 wk ahead cum death,2020-05-03,2020-05-09
,1191,point,48,2 wk ahead cum death,2020-05-03,2020-05-16
,1352,point,48,3 wk ahead cum death,2020-05-03,2020-05-23
,1510,point,48,4 wk ahead cum death,2020-05-03,2020-05-30
,61,point,49,1 wk ahead cum death,2020-05-03,2020-05-09
,74,point,49,2 wk ahead cum death,2020-05-03,2020-05-16
,86,point,49,3 wk ahead cum death,2020-05-03,2020-05-23
,99,point,49,4 wk ahead cum death,2020-05-03,2020-05-30
,849,point,51,1 wk ahead cum death,2020-05-03,2020-05-09
,1089,point,51,2 wk ahead cum death,2020-05-03,2020-05-16
,1378,point,51,3 wk ahead cum death,2020-05-03,2020-05-23
,1689,point,51,4 wk ahead cum death,2020-05-03,2020-05-30
,55,point,50,1 wk ahead cum death,2020-05-03,2020-05-09
,59,point,50,2 wk ahead cum death,2020-05-03,2020-05-16
,62,point,50,3 wk ahead cum death,2020-05-03,2020-05-23
,64,point,50,4 wk ahead cum death,2020-05-03,2020-05-30
,878,point,53,1 wk ahead cum death,2020-05-03,2020-05-09
,921,point,53,2 wk ahead cum death,2020-05-03,2020-05-16
,953,point,53,3 wk ahead cum death,2020-05-03,2020-05-23
,976,point,53,4 wk ahead cum death,2020-05-03,2020-05-30
,357,point,55,1 wk ahead cum death,2020-05-03,2020-05-09
,379,point,55,2 wk ahead cum death,2020-05-03,2020-05-16
,396,point,55,3 wk ahead cum death,2020-05-03,2020-05-23
,408,point,55,4 wk ahead cum death,2020-05-03,2020-05-30
,62,point,54,1 wk ahead cum death,2020-05-03,2020-05-09
,73,point,54,2 wk ahead cum death,2020-05-03,2020-05-16
,82,point,54,3 wk ahead cum death,2020-05-03,2020-05-23
,90,point,54,4 wk ahead cum death,2020-05-03,2020-05-30
,11,point,56,1 wk ahead cum death,2020-05-03,2020-05-09
,14,point,56,2 wk ahead cum death,2020-05-03,2020-05-16
,15,point,56,3 wk ahead cum death,2020-05-03,2020-05-23
,17,point,56,4 wk ahead cum death,2020-05-03,2020-05-30
,0,point,2,1 wk ahead inc death,2020-05-10,2020-05-16
,0,point,2,2 wk ahead inc death,2020-05-10,2020-05-23
,0,point,2,3 wk ahead inc death,2020-05-10,2020-05-30
,0,point,2,4 wk ahead inc death,2020-05-10,2020-06-06
,96,point,1,1 wk ahead inc death,2020-05-10,2020-05-16
,100,point,1,2 wk ahead inc death,2020-05-10,2020-05-23
,97,point,1,3 wk ahead inc death,2020-05-10,2020-05-30
,96,point,1,4 wk ahead inc death,2020-05-10,2020-06-06
,17,point,5,1 wk ahead inc death,2020-05-10,2020-05-16
,16,point,5,2 wk ahead inc death,2020-05-10,2020-05-23
,15,point,5,3 wk ahead inc death,2020-05-10,2020-05-30
,13,point,5,4 wk ahead inc death,2020-05-10,2020-06-06
,184,point,4,1 wk ahead inc death,2020-05-10,2020-05-16
,210,point,4,2 wk ahead inc death,2020-05-10,2020-05-23
,232,point,4,3 wk ahead inc death,2020-05-10,2020-05-30
,234,point,4,4 wk ahead inc death,2020-05-10,2020-06-06
,453,point,6,1 wk ahead inc death,2020-05-10,2020-05-16
,417,point,6,2 wk ahead inc death,2020-05-10,2020-05-23
,383,point,6,3 wk ahead inc death,2020-05-10,2020-05-30
,330,point,6,4 wk ahead inc death,2020-05-10,2020-06-06
,116,point,8,1 wk ahead inc death,2020-05-10,2020-05-16
,89,point,8,2 wk ahead inc death,2020-05-10,2020-05-23
