forecast_date,target,target_end_date,quantile,type,location,value
2020-12-21,4 wk ahead inc death,2021-01-16,,point,09,100.33708746405209
2020-12-21,5 wk ahead inc death,2021-01-23,,point,09,80.72102518757839
2020-12-21,6 wk ahead inc death,2021-01-30,,point,09,64.93993469431857
2020-12-21,7 wk ahead inc death,2021-02-06,,point,09,52.24407282120738
2020-12-21,8 wk ahead inc death,2021-02-13,,point,09,42.03027240165064
2020-12-21,1 wk ahead cum death,2020-12-26,,point,09,5773.701881325802
2020-12-21,2 wk ahead cum death,2021-01-02,,point,09,5928.73023434399
2020-12-21,3 wk ahead cum death,2021-01-09,,point,09,6053.450294543597
2020-12-21,4 wk ahead cum death,2021-01-16,,point,09,6153.787382007649
2020-12-21,5 wk ahead cum death,2021-01-23,,point,09,6234.508407195228
2020-12-21,6 wk ahead cum death,2021-01-30,,point,09,6299.448341889546
2020-12-21,7 wk ahead cum death,2021-02-06,,point,09,6351.692414710755
2020-12-21,8 wk ahead cum death,2021-02-13,,point,09,6393.722687112404
2020-12-21,1 wk ahead inc death,2020-12-26,,point,10,37.128473693289344
2020-12-21,2 wk ahead inc death,2021-01-02,,point,10,43.32566454303237
2020-12-21,3 wk ahead inc death,2021-01-09,,point,10,50.55724142074398
2020-12-21,4 wk ahead inc death,2021-01-16,,point,10,58.995855852058774
2020-12-21,5 wk ahead inc death,2021-01-23,,point,10,68.84297698823454
2020-12-21,6 wk ahead inc death,2021-01-30,,point,10,80.33370161604677
2020-12-21,7 wk ahead inc death,2021-02-06,,point,10,93.74236701644884
2020-12-21,8 wk ahead inc death,2021-02-13,,point,10,109.38910067715929
2020-12-21,1 wk ahead cum death,2020-12-26,,point,10,895.1284736932894
2020-12-21,2 wk ahead cum death,2021-01-02,,point,10,938.4541382363216
2020-12-21,3 wk ahead cum death,2021-01-09,,point,10,989.0113796570656
2020-12-21,4 wk ahead cum death,2021-01-16,,point,10,1048.0072355091245
2020-12-21,5 wk ahead cum death,2021-01-23,,point,10,1116.8502124973586
2020-12-21,6 wk ahead cum death,2021-01-30,,point,10,1197.1839141134058
