location,type,quantile,value,target_end_date,forecast_date,target
30,point,,785,2021-05-15,2021-05-10,1 wk ahead inc case
30,point,,17,2021-05-15,2021-05-10,1 wk ahead inc death
30,point,,799,2021-05-22,2021-05-10,2 wk ahead inc case
30,point,,18,2021-05-22,2021-05-10,2 wk ahead inc death
30,point,,789,2021-05-29,2021-05-10,3 wk ahead inc case
30,point,,19,2021-05-29,2021-05-10,3 wk ahead inc death
30,point,,798,2021-06-05,2021-05-10,4 wk ahead inc case
30,point,,19,2021-06-05,2021-05-10,4 wk ahead inc death
31,point,,1111,2021-05-15,2021-05-10,1 wk ahead inc case
31,point,,5,2021-05-15,2021-05-10,1 wk ahead inc death
31,point,,1067,2021-05-22,2021-05-10,2 wk ahead inc case
31,point,,6,2021-05-22,2021-05-10,2 wk ahead inc death
31,point,,1001,2021-05-29,2021-05-10,3 wk ahead inc case
31,point,,6,2021-05-29,2021-05-10,3 wk ahead inc death
31,point,,965,2021-06-05,2021-05-10,4 wk ahead inc case
31,point,,6,2021-06-05,2021-05-10,4 wk ahead inc death
32,point,,2114,2021-05-15,2021-05-10,1 wk ahead inc case
32,point,,34,2021-05-15,2021-05-10,1 wk ahead inc death
32,point,,1861,2021-05-22,2021-05-10,2 wk ahead inc case
32,point,,30,2021-05-22,2021-05-10,2 wk ahead inc death
32,point,,1692,2021-05-29,2021-05-10,3 wk ahead inc case
32,point,,29,2021-05-29,2021-05-10,3 wk ahead inc death
32,point,,1583,2021-06-05,2021-05-10,4 wk ahead inc case
32,point,,28,2021-06-05,2021-05-10,4 wk ahead inc death
33,point,,1053,2021-05-15,2021-05-10,1 wk ahead inc case
33,point,,13,2021-05-15,2021-05-10,1 wk ahead inc death
33,point,,981,2021-05-22,2021-05-10,2 wk ahead inc case
33,point,,12,2021-05-22,2021-05-10,2 wk ahead inc death
33,point,,938,2021-05-29,2021-05-10,3 wk ahead inc case
33,point,,13,2021-05-29,2021-05-10,3 wk ahead inc death
33,point,,933,2021-06-05,2021-05-10,4 wk ahead inc case
33,point,,13,2021-06-05,2021-05-10,4 wk ahead inc death
34,point,,4762,2021-05-15,2021-05-10,1 wk ahead inc case
34,point,,199,2021-05-15,2021-05-10,1 wk ahead inc death
34,point,,4235,2021-05-22,2021-05-10,2 wk ahead inc case
34,point,,196,2021-05-22,2021-05-10,2 wk ahead inc death
34,point,,3943,2021-05-29,2021-05-10,3 wk ahead inc case
34,point,,193,2021-05-29,2021-05-10,3 wk ahead inc death
34,point,,4111,2021-06-05,2021-05-10,4 wk ahead inc case
34,point,,189,2021-06-05,2021-05-10,4 wk ahead inc death
35,point,,906,2021-05-15,2021-05-10,1 wk ahead inc case
35,point,,30,2021-05-15,2021-05-10,1 wk ahead inc death
35,point,,828,2021-05-22,2021-05-10,2 wk ahead inc case
35,point,,29,2021-05-22,2021-05-10,2 wk ahead inc death
