location,forecast_date,value,target_end_date,target,type,quantile
5109,2020-08-05,23,2020-08-22,2 wk ahead inc case,point,
5111,2020-08-05,108,2020-08-22,2 wk ahead inc case,point,
5113,2020-08-05,18,2020-08-22,2 wk ahead inc case,point,
5115,2020-08-05,86,2020-08-22,2 wk ahead inc case,point,
5117,2020-08-05,15,2020-08-22,2 wk ahead inc case,point,
5119,2020-08-05,1505,2020-08-22,2 wk ahead inc case,point,
5121,2020-08-05,66,2020-08-22,2 wk ahead inc case,point,
5125,2020-08-05,129,2020-08-22,2 wk ahead inc case,point,
5127,2020-08-05,46,2020-08-22,2 wk ahead inc case,point,
5129,2020-08-05,7,2020-08-22,2 wk ahead inc case,point,
5131,2020-08-05,898,2020-08-22,2 wk ahead inc case,point,
5133,2020-08-05,62,2020-08-22,2 wk ahead inc case,point,
5135,2020-08-05,32,2020-08-22,2 wk ahead inc case,point,
5137,2020-08-05,21,2020-08-22,2 wk ahead inc case,point,
5139,2020-08-05,146,2020-08-22,2 wk ahead inc case,point,
5141,2020-08-05,25,2020-08-22,2 wk ahead inc case,point,
5143,2020-08-05,910,2020-08-22,2 wk ahead inc case,point,
5145,2020-08-05,149,2020-08-22,2 wk ahead inc case,point,
5147,2020-08-05,21,2020-08-22,2 wk ahead inc case,point,
5149,2020-08-05,114,2020-08-22,2 wk ahead inc case,point,
6001,2020-08-05,3556,2020-08-22,2 wk ahead inc case,point,
6003,2020-08-05,1,2020-08-22,2 wk ahead inc case,point,
6005,2020-08-05,99,2020-08-22,2 wk ahead inc case,point,
6007,2020-08-05,1014,2020-08-22,2 wk ahead inc case,point,
6009,2020-08-05,72,2020-08-22,2 wk ahead inc case,point,
6011,2020-08-05,142,2020-08-22,2 wk ahead inc case,point,
6013,2020-08-05,2630,2020-08-22,2 wk ahead inc case,point,
6015,2020-08-05,21,2020-08-22,2 wk ahead inc case,point,
6017,2020-08-05,285,2020-08-22,2 wk ahead inc case,point,
6019,2020-08-05,5494,2020-08-22,2 wk ahead inc case,point,
6021,2020-08-05,78,2020-08-22,2 wk ahead inc case,point,
6023,2020-08-05,94,2020-08-22,2 wk ahead inc case,point,
6025,2020-08-05,1049,2020-08-22,2 wk ahead inc case,point,
6027,2020-08-05,70,2020-08-22,2 wk ahead inc case,point,
6029,2020-08-05,9338,2020-08-22,2 wk ahead inc case,point,
6031,2020-08-05,1284,2020-08-22,2 wk ahead inc case,point,
6033,2020-08-05,84,2020-08-22,2 wk ahead inc case,point,
6035,2020-08-05,178,2020-08-22,2 wk ahead inc case,point,
6037,2020-08-05,30665,2020-08-22,2 wk ahead inc case,point,
6039,2020-08-05,428,2020-08-22,2 wk ahead inc case,point,
6041,2020-08-05,1022,2020-08-22,2 wk ahead inc case,point,
6043,2020-08-05,22,2020-08-22,2 wk ahead inc case,point,
6045,2020-08-05,199,2020-08-22,2 wk ahead inc case,point,
6047,2020-08-05,2004,2020-08-22,2 wk ahead inc case,point,
6049,2020-08-05,10,2020-08-22,2 wk ahead inc case,point,
6051,2020-08-05,67,2020-08-22,2 wk ahead inc case,point,
6053,2020-08-05,1807,2020-08-22,2 wk ahead inc case,point,
6055,2020-08-05,225,2020-08-22,2 wk ahead inc case,point,
6057,2020-08-05,106,2020-08-22,2 wk ahead inc case,point,
6059,2020-08-05,8070,2020-08-22,2 wk ahead inc case,point,
6061,2020-08-05,481,2020-08-22,2 wk ahead inc case,point,
6063,2020-08-05,12,2020-08-22,2 wk ahead inc case,point,
6065,2020-08-05,10145,2020-08-22,2 wk ahead inc case,point,
6067,2020-08-05,2174,2020-08-22,2 wk ahead inc case,point,
6069,2020-08-05,250,2020-08-22,2 wk ahead inc case,point,
6071,2020-08-05,9432,2020-08-22,2 wk ahead inc case,point,
6073,2020-08-05,8099,2020-08-22,2 wk ahead inc case,point,
6075,2020-08-05,1952,2020-08-22,2 wk ahead inc case,point,
6077,2020-08-05,2143,2020-08-22,2 wk ahead inc case,point,
6079,2020-08-05,659,2020-08-22,2 wk ahead inc case,point,
6081,2020-08-05,1249,2020-08-22,2 wk ahead inc case,point,
